aaaa 晶晶
agkg 量在
agks 量力
agl  日都
agm  量一
agmn 量刑
agnb 量角
agnc 量小
agnd 量子
ago  量人
agoc 量價
agom 量低
agoo 量入
agop 量化
agow 量個
agp  日志
agpe 量慢
agpk 量快
agqu 量規
agqv 量表
agra 量吧
agrf 量嗎
agrl 量哪
agrp 量呢
agrr 量器
ags  量的
agsl 量那
agso 量尺
agta 量著
agtf 闔家
agti 闔府
agtw 闔眼
agty 闔上
agua 曉得
agub 曉彤
agud 曉東
aguf 曉輝
aguh 曉欣
aguh 曉筠
aguh 曉風
agui 曉諭
aguj 曉事
agul 曉暢
agun 曉色
agun 曉陽
aguo 曉敏
aguq 曉夫
aguq 曉慧
agus 曉君
agut 曉華
aguu 曉嵐
aguu 量出
aguv 曉以
aguz 日起
agvn 量好
agvo 量以
agw  量了
agwr 量回
agwy 量點
agxa 量縮
agxk 量變
agxr 量給
agy  日地
agy  量是
agy 日均
agym 量產
agyo 量你
agyr 量詞
agz  日土
agzp 日趨
agzq 量過
agzy 量這
ahaa 阿昌
ahab 阿明
ahae 阿曼
ahan 阿門
ahbm 日租
ahbo 晌午
ahbw 阿貓
ahci 阿公
ahcr 日船
ahev 阿婆
ahfa 阿花
ahfb 阿炳
ahff 阿燦
ahfg 阿堂
ahfj 阿輝
ahfo 阿家
ahfw 阿當
ahgq 阿壽
ahgs 阿城
ahhb 阿扁
ahhn 阿利
ahhq 日射
ahi  日風
ahim 阿祖
ahiq 阿摩
ahiw 阿福
ahjc 阿寶
ahjg 阿塞
ahjp 日德
ahjw 阿富
ahka 阿卡
ahkr 阿狗
ahla 昕昕
ahlc 阿貴
ahma 星星
ahmb 星月
ahmb 星體
ahmb 阿爾
ahmd 星相
ahme 星河
ahmf 星光
ahmg 星報
ahmh 星兒
ahmh 星系
ahmi 星座
ahmj 星空
ahmk 星有
ahmm 星球
ahmm 星辰
ahmm 星雲
ahmn 星象
ahmn 星際
ahmo 星人
ahmo 星位
ahmo 星命
ahmo 星條
ahmo 阿毛
ahmq 星探
ahmr 星戰
ahmr 星號
ahms 星馬
ahms 星馳
ahmt 星期
ahmu 星學
ahmv 星狀
ahmw 星國
ahmw 星圖
ahmw 星團
ahmw 星眸
ahmw 星羅
ahmw 星點
ahmx 星級
ahmy 星斗
ahmz 星通
ahmz 星運
ahn  日利
ahnt 阿飛
ahnv 日製
ahoa 阿伯
ahoe 日復
ahqa 日籍
ahqc 日積
ahqt 阿拉
ahrd 阿呆
ahrg 日程
ahsa 昨日
ahsa 昨晚
ahsg 昨起
ahsh 昨兒
ahsk 昨在
ahsm 昨天
ahso 昨午
ahss 昨於
ahst 日艦
ahsv 昨收
ahsy 昨夜
ahsz 昨遭
ahtg 昇起
ahtg 昇高
ahtg 阿難
ahth 昇等
ahti 昇為
ahti 阿義
ahti 阿茂
ahtj 昇空
ahtj 阿蓮
ahtk 阿美
ahtl 阿斯
ahtm 昇天
ahtm 昇至
ahtm 阿差
ahtm 阿甘
ahtn 昇降
ahto 昇個
ahto 阿蒙
ahtp 昇平
ahtt 昇華
ahtx 昇級
ahtz 日升
ahtz 阿芝
ahum 阿們
ahvf 日系
ahvf 阿媽
ahvk 阿姨
ahwb 眉目
ahwc 眉鉗
ahwd 眉來
ahwd 眉梢
ahwe 眉清
ahwg 阿里
ahwh 眉毛
ahwh 眉筆
ahwj 眉宇
ahwk 眉頭
ahwm 眉型
ahwm 眉形
ahwm 眉豆
ahwp 日息
ahwp 眉心
ahwq 眉批
ahws 眉尾
ahwu 眉山
ahwu 眉峰
ahww 眉睫
ahwy 眉語
ahyb 阿裔
ahye 阿叔
ahyj 阿斗
ahyn 日航
ahyo 阿諛
ahyp 阿龍
ahyr 阿諾
ahyw 阿督
ahzj 阿達
aica 曠日
aicg 曠地
aici 曠廢
aicm 曠工
aicp 曠世
aics 曠職
aicw 曠野
aicy 曠課
aicz 曠達
aile 日康
aim  日或
aist 日盛
aiua 既得
aiua 既時
aiua 既關
aiub 既然
aiuc 既分
aiuf 既當
aiug 既未
aiug 既款
aiug 既都
aiuh 既往
aiuh 既與
aiui 既感
aiui 既成
aiui 既我
aiui 既為
aiui 既能
aiuj 既定
aiuk 既有
aiul 既非
aium 既一
aium 既而
aium 既而
aium 既要
aium 既電
aiun 既不
aiun 既可
aiun 既急
aiuo 既人
aiuo 既似
aiuo 既使
aiuo 既會
aiuo 既無
aiuo 既缺
aiup 既快
aiup 既情
aius 既已
aiuu 既出
aiuv 既以
aiuv 既女
aiuv 既好
aiuw 既男
aiuw 既野
aiux 既經
aiuy 既是
aiz  日我
ajag 暑熱
ajaj 早早
ajam 暑天
ajao 暑假
ajaq 早時
ajat 暑期
ajau 早晚
ajav 早晨
ajaz 早得
ajaz 早日
ajba 早把
ajbj 日南
ajbr 早膳
ajda 昧昧
ajdp 早想
ajdq 日韓
ajds 昧於
ajdt 早來
ajdt 昧著
aje  日支
ajep 早洩
ajet 早泄
ajge 早報
ajgh 早場
ajgi 早去
ajgn 早到
ajgu 早起
ajgz 早走
ajhb 早歸
ajhc 早與
ajhk 早夭
ajht 早盤
ajhu 早稻
aji  日資
aji  早我
ajj  日車
ajjb 早朝
ajjv 早安
ajkb 早有
ajkg 早在
ajkz 早知
ajme 日寇
ajmg 早班
ajmp 早死
ajmy 早下
ajmz 早一
ajnn 早粥
ajo  日做
ajoa 早會
ajob 日輪
ajoc 早他
ajoe 早飯
ajoq 早年
ajos 早作
ajpp 早比
ajqa 早春
ajqd 早操
ajqh 早先
ajqm 早生
ajqp 早慧
ajqw 早看
ajra 早踏
ajs  早的
ajsu 早已
ajsy 早於
ajtb 早期
ajtd 早茶
ajtn 早前
ajuu 早出
ajuw 早覺
ajva 早婚
ajvb 晏嬰
ajvl 晏晝
ajvn 晏子
ajvo 早以
ajvz 日安
ajw  早了
ajwm 早睡
ajwy 早點
ajxg 早結
ajyc 早讀
ajyf 早熟
ajyj 早計
ajyj 早辦
ajyl 早市
ajym 早上
ajym 早產
ajyo 早該
ajyv 早餐
ajyw 早課
ajza 早退
ajzi 早歲
ajzl 早逝
ajzm 早些
akbz 日有
akfn 暸解
akg  日在
akuj 閹割
aky  日頭
akz  日大
ala  即日
ala  日書
alaf 即景
alaf 即照
alaj 即早
alaq 即時
alat 即開
alaz 即得
alba 即贈
albq 即用
albr 即同
alca 即曾
alcs 即分
alcu 即說
aldp 即想
aleb 即滿
aler 即溶
aleu 即洗
alfe 即爆
alge 即報
algo 即高
algy 即地
alhc 即興
alhl 即管
alhm 即行
alhr 即告
alhz 即從
alib 即席
alie 閩江
alif 即為
alih 閩籍
alih 閩粵
alii 閩台
alij 閩南
alil 閩北
alim 即或
alio 閩侯
alip 即憑
alip 即應
alis 即成
aliz 即我
aljf 即煮
alji 即寬
aljo 即做
aljs 即考
alju 即克
alka 映照
alkb 即有
alkb 映彤
alkd 即存
alke 映對
alkg 即在
alkh 映射
alki 映現
alkk 映在
alkk 映帶
alkl 映中
alkl 映畫
alkl 映襯
alkm 映雪
alkn 映象
alko 映像
alkt 映著
alku 映出
all  即中
alla 
allb 即背
allw 即由
ally 即非
alm  即一
almg 即至
almk 即攻
almp 即死
almu 即玩
almv 即要
alnm 即發
alnn 即予
alnr 即可
aloa 即會
aloc 即領
alof 即係
alog 即坐
aloi 即令
aloi 即愛
alok 即使
alom 即低
alon 即今
alon 即倒
aloo 即飲
alor 即合
alor 即售
alos 即作
alot 即位
alot 即無
alot 即短
alov 即依
alov 即食
aloz 即人
alqe 即撥
alqm 即生
alqn 即打
alqr 即扣
alqr 即拘
alqu 即插
alqv 即表
alqw 即看
alqy 即拆
alqz 即擬
alru 即吃
alrv 即喝
alsi 即屬
alsk 即改
alsm 即騎
alsp 即聽
alsu 即已
alsv 即長
alsy 即於
altb 即期
altc 即其
altg 即難
altr 即若
alun 即學
alv  日數
alvo 即以
alvq 即將
alwg 即墨
alwh 即見
alwm 即睡
alwz 即買
alxr 即給
aly  即是
alyb 即謂
alyb 即講
alyc 即讀
alyd 即享
alye 即夜
alyf 即就
alyn 即刻
alyo 即該
alyu 即記
alz  日中
alza 即遭
alzd 即速
alzk 即送
alzl 即逝
alzq 即建
alzq 即達
alzz 即止
amab 旦明
amam 旦旦
amda 日曆
amdw 日霜
amdz 日歷
amga 旺得
amga 旺旺
amgb 旺多
amgb 旺財
amgb 閏月
amgc 旺銷
amgd 日臻
amge 旺對
amgg 旺到
amgg 旺地
amgg 旺場
amgg 旺起
amgg 旺都
amgh 旺季
amgi 旺盛
amgj 旺宏
amgk 旺在
amgn 旺角
amgo 旺個
amgo 旺氣
amgo 閏年
amgs 旺區
amgs 旺的
amgs 旺那
amgt 旺菜
amgt 旺著
amgu 旺出
amgv 旺好
amgw 旺了
amgw 旺點
amgy 旺市
amgz 旺這
amgz 旺過
amh  日元
amig 日至
amit 曇花
amiz 日式
amjg 旱地
amjh 旱季
amjm 旱天
amjn 日刊
amjp 旱情
amjs 旱區
amjt 旱荒
amjv 旱災
amjw 旱田
amjz 日干
amkm 昊天
aml  日工
amlg 日班
amlk 日更
amnb 旦角
amni 旦夕
ampa 曬曬
ampi 曬成
ampj 曬乾
ampl 曬衫
ampm 曬死
ampo 曬命
amps 曬鹽
ampw 曬了
ampw 曬黑
ampy 曬衣
amre 晤對
amrm 晤面
amro 日歌
amrw 晤見
amry 晤談
amsu 日配
amta 旦暮
amu  日電
amva 晨曦
amvc 晨鐘
amvf 晨光
amvg 晨報
amvh 晨昏
amvi 晨禱
amvm 晨霧
amvm 晨露
amvn 晨夕
amvq 晨操
amvr 晨跑
amvs 晨的
amvx 晨約
amvz 晨運
amwa 晒晒
amwd 晒相
amwf 晒煙
amwg 日理
amwi 晒冷
amwi 晒成
amwj 晒乾
amwj 晒士
amwo 晒傷
amwo 晒命
amww 晒圖
amww 晒黑
amwy 晒衣
amwz 日面
amy  日下
amz  日一
amz  日正
anaa 間歇
anac 間交
anac 間分
anac 間鋪
anad 間格
anag 間都
anah 間行
anai 門閥
anak 間有
anak 間架
anal 間中
anal 間數
anam 門閂
anan 間隔
anan 間隙
anao 間人
anao 間作
anaq 間接
anar 間距
anas 間壁
anas 間屋
anas 間層
anas 間的
anat 間期
anat 間著
anau 日色
anau 門巴
anau 間出
anav 間斷
anay 間諜
anaz 間這
anaz 間道
anba 門把
anba 閒暇
anbc 閒錢
anbd 閒來
anbg 閒地
anbj 閒事
anbl 閒書
anbm 閒雅
anbm 閒雲
anbo 閒氣
anbp 閒情
anbq 閒扯
anbs 閒聊
anbt 閒散
anbt 閒著
anbt 閒蕩
anbw 閒置
anby 閒談
anbz 閒逛
ancc 門鎖
anci 門鈴
ancn 門釘
and  日子
anda 閑暇
andb 門柄
andc 閑錢
andd 閑來
ande 門板
andf 門禁
andg 門框
andj 閑事
andl 閑書
andm 門栓
ando 閑人
andp 閑心
andp 閑情
andq 閑靜
andr 門樞
ands 閑居
ands 閑的
ands 閑聊
andt 門檻
andv 門樓
andw 門楣
andw 閑話
andy 閑談
andy 閑雜
andz 日子
andz 閑逛
andz 閑適
aneg 門法
aner 門洞
anev 門派
anfc 門類
anfh 門券
anft 門燈
anfw 門當
ango 門坎
anhc 門簾
anhg 日陞
anhh 門第
anhi 門風
anhm 門徑
anhn 門衛
anhs 門戶
anhu 門兒
anhy 門扉
anhz 門徒
ani  日夕
ani  門我
anic 門廣
anig 門庭
anil 門廊
anil 門神
anim 門底
anip 門廳
anjc 門額
anjl 門事
anjr 門客
anjw 門窗
ankb 門有
anky 門頭
ankz 暌違
anlg 門裡
anlj 門牌
anma 閂門
anmf 門票
anmg 門王
anmh 門牙
anmn 門丁
anmu 閂出
anmv 門環
anmw 門面
anmy 門下
anmz 門一
anna 門階
annd 門子
annf 門隙
annj 門陣
annr 門可
annv 門限
anny 門外
ano  日久
ano  門人
anob 門內
anob 門飾
anoo 門入
anqm 門生
anqu 門規
anqw 門擋
anr  門口
anrr 門路
anry 門號
ans  門的
anst 門聯
antn 門前
anty 門警
anua 晚間
anub 晚多
anub 晚膳
anud 晚來
anue 晚對
anue 晚清
anuf 晚五
anug 晚報
anuh 晚歸
anuh 晚秋
anuh 晚節
anuh 晚風
anui 晚唐
anui 晚成
anui 晚我
anui 晚福
anui 晚禱
anuj 晚安
anuj 晚宴
anuk 晚在
anuk 晚有
anul 晚輩
anum 晚霞
anuo 晚年
anuo 晚會
anup 晚世
anuq 晚春
anuq 晚生
anur 晚吧
anur 晚呢
anur 晚啦
anus 晚於
anus 晚的
anus 晚那
anut 晚期
anuu 晚出
anuu 晚學
anuv 晚好
anuv 晚娘
anuv 晚婚
anuv 晚裝
anuw 晚了
anuw 晚睡
anux 晚結
anux 晚給
anuy 晚上
anuy 晚餐
anuz 晚些
anuz 晚歲
anuz 晚近
anuz 晚這
anvo 門以
anvq 門將
anvw 門牆
anvz 門後
anwg 門羅
anxj 門縫
any  門是
anyg 門望
anyh 門診
anyl 門市
anys 門旁
anz  日不
anzo 門齒
anzs 門邊
anzt 門道
anzy 門這
aoa  日會
aoao 閃閃
aoat 閃開
aoaz 閃得
aob  日內
aocd 閃鑠
aodi 日付
aodt 閃來
aofd 閃爍
aoff 閃燃
aofg 閃耀
aofm 閃光
aoft 閃燈
aog  日全
aogi 閃去
aogl 閃都
aogn 閃到
aogu 閃起
aohb 日僑
aohd 閃躲
aohh 閃身
aohi 日俄
aoho 閃失
aohs 閃動
aoia 閥門
aoic 日領
aoiz 閃我
aojq 閃擊
aoju 閃完
aokg 閃在
aoli 日蝕
aomm 閃靈
aomu 閃電
aoo  閃人
aooc 閃他
aooo 閃入
aoow 閃個
aop  日化
aopc 日貨
aopk 閃快
aorr 閃啊
aos  閃的
aosn 日創
aota 閃著
aouu 閃出
aov  日食
aow  閃了
aowr 閃回
aowy 閃點
aoya 晦暗
aoye 晦澀
aoyk 閃族
aoyo 晦氣
aoyt 晦朔
aoyu 閃亮
aoz  日人
aozj 閃避
aozq 閃過
apap 悶悶
apaz 悶得
apdp 悶棍
apea 曖昧
apeq 悶對
apew 悶酒
apfu 悶燒
apgf 悶熱
apgh 悶場
apgj 悶聲
apgl 悶都
apgn 悶到
apgv 悶壞
apgz 悶走
apha 易得
apha 易易
apha 易暴
apha 易開
apha 易關
aphb 易把
aphb 易用
aphc 易錯
aphe 易對
aphe 易染
aphe 易水
aphe 易洗
aphe 易清
aphe 易漲
aphe 易燙
aphf 易判
aphf 易少
aphf 易燃
aphf 易爆
aphg 易到
aphg 易地
aphg 易堵
aphg 易壞
aphg 易賣
aphg 易走
aphg 易起
aphg 易都
aphh 易乘
aphh 易和
aphh 易科
aphh 易種
aphh 易與
aphh 易舉
aphi 易成
aphi 易腐
aphj 易事
aphj 易守
aphj 易完
aphj 易定
aphj 易容
aphj 易寫
aphj 易穿
aphj 易考
aphj 易轍
aphk 易在
aphk 易有
aphk 易架
aphk 易瘦
aphl 易幟
aphl 易患
aphm 易下
aphm 易攻
aphm 易理
aphm 易醒
aphn 易名
aphn 易發
aphn 易防
apho 易位
aphp 易懂
aphq 易手
aphq 易折
aphq 易掉
aphq 易推
aphq 易搞
aphq 易搭
aphq 易生
aphq 易耗
aphr 易吃
aphr 易吧
aphr 易呢
aphr 易唱
aphr 易啊
aphr 易啦
aphr 易喝
aphr 易嗎
aphr 易跌
aphr 易跑
aphr 易跳
aphs 易於
apht 易前
apht 易著
apht 易難
apht 易養
aphu 易學
aphv 易以
aphv 易好
aphv 易如
aphv 易姓
aphv 易將
aphv 易後
aphv 易怒
aphv 易斷
aphw 易了
aphw 易回
aphw 易睡
aphw 易罹
aphw 易見
aphw 易買
aphw 易點
aphx 易經
aphy 易記
aphz 易些
aphz 易追
aphz 易送
aphz 易這
aphz 易造
aphz 易過
aphz 易選
apkg 悶在
apmp 悶死
apmw 悶雷
apng 剔去
apnm 剔牙
apnn 剔除
apnu 剔出
apnx 剔紅
apnz 剔透
apod 悶氣
apon 曷不
appa 昆明
appb 昆騰
appc 昆弟
appk 悶快
appk 昆布
appl 昆蟲
appn 昆陽
appo 昆仲
appu 昆山
appu 昆崙
appw 昆曲
appy 昆劇
apra 悶吧
aprf 悶嗎
aprp 悶呢
aprr 悶啊
aprt 悶啦
aps  悶的
apsi 悶騷
apsl 悶那
apsr 悶局
apta 悶著
apuu 悶出
apva 悶響
apvn 悶好
apwy 悶點
apz  日心
apzq 悶過
apzy 悶這
aqa  時間
aqae 時最
aqaq 時時
aqat 時開
aqba 時把
aqba 晴日
aqba 晴時
aqbh 晴和
aqbi 晴朗
aqbj 晴空
aqbm 晴天
aqbn 晴陽
aqbv 時脈
aqbv 晴好
aqbw 晴了
aqc  時分
aqcj 時針
aqcu 時說
aqcv 時錶
aqcy 時鐘
aqd  時機
aqdh 時才
aqdz 時整
aqe  時水
aqed 時浮
aqf  時光
aqfl 時常
aqfr 時尚
aqft 時弊
aqg  時報
aqgl 時都
aqgo 時款
aqgo 時高
aqgs 時勢
aqgu 時起
aqgv 時壞
aqgz 時走
aqh  時段
aqhc 時興
aqhg 時程
aqhi 時風
aqhl 時節
aqhm 時行
aqhp 日托
aqi  時序
aqin 時現
aqip 時感
aqj  時空
aqjb 時朝
aqji 時寬
aqjl 時事
aqjm 時宜
aqkb 時有
aqkb 時病
aqkk 時疾
aqkz 時症
aql  時數
aqm  時辰
aqmb 時而
aqmg 時至
aqmi 時式
aqmk 時政
aqmm 時三
aqmy 時下
aqmz 時正
aqn  時務
aqnb 時隔
aqnj 時陣
aqnk 時又
aqnp 時急
aqnp 時隱
aqnq 時鮮
aqnr 時可
aqnv 時限
aqo  時候
aqoa 時會
aqoc 時價
aqod 時氣
aqoi 時令
aqok 時侯
aqok 時便
aqom 時低
aqom 時值
aqon 時停
aqor 時俗
aqos 時仍
aqou 日規
aqov 時食
aqp  時代
aqpe 時慢
aqpk 時快
aqpt 時世
aqrr 時唔
aqs  時髦
aqsa 時習
aqsc 時賢
aqsf 時緊
aqsl 時那
aqsr 時局
aqsu 時已
aqt  時期
aqtc 時並
aqtd 時菜
aqte 時樣
aqtg 時基
aqtm 時差
aqtp 時花
aqtv 時艱
aquu 日拙
aquu 時出
