aaalx 晶片組
aqmm  時需要
aqnv  時可以
aqob  時使用
aqod  時候才
aqou  時他們
aqqm  時表示
aqqo  時提供
aqvi  時裝店
araa  問問題
arar  問題呢
aras  問題的
aray  問題就
aray  問題是
arfdd 照相機
arfdh 照相簿
arfdo 照相館
arfod 照像機
arfvc 照妖鏡
arfvc 照後鏡
arma  問一問
arou  問他們
asae  日耳曼
asfxf 闖紅燈
atehm 暴風雨
atehm 暴風雪
atgh  開場白
atkg  日前在
atmh  開玩笑
atmo  開一個
atns  開發區
atns  開發的
atnu  開發出
atnw  開不了
atny  開發商
atoj  開倒車
atti  開幕禮
attm  開幕式
atty  開普敦
atva  開始時
atvs  開始於
atvt  開始前
atym  開放式
atyo  開市價
atyp  開放性
atys  開放的
audz  巴格達
aujm  巴塞爾
aujy  巴士站
aums  巴西的
auos  巴拿馬
aupo  巴比倫
auqg  巴拉圭
aurs  巴哈馬
auwh  巴里島
avcj  關鍵字
avcp  關鍵性
avcy  關鍵詞
aves  關注的
avhf  關節炎
avog  關係到
avos  關係的
avovy 歇後語
avs   日後的
avyi  關帝廟
avyt  關詠荷
avzm  關之琳
awejp 曼克頓
awerp 曼哈頓
awlo  冒牌貨
axww  日線圖
ayfhc 景德鎮
ayfqt 景泰藍
ayhd  影印本
ayhd  影印機
aysd  影碟機
ayvg  影響到
ayvk  影響力
ayvs  影響的
ayyn  影劇院
azbw  得多了
azgw  得到了
azmo  得一個
azmy  得票率
azng  得不到
azou  得他們
azud  得出來
azvj  得獎者
azwo  得罪人
azys  得意的
baaa  把問題
baaa  把時間
bacbl 冥冥中
bahe  把香港
bahk  把所有
bahs  把自己
baiu  把我們
bajf  把資料
bajp  把事情
baka  把有關
balw  把中國
bami  把政府
bamo  把一個
bamo  把工作
bamz  把一些
baos  把他的
baou  把他們
baao  把握住
bayu  把你們
bazz  把這些
bbbss 骨碌碌
bbkg  朋友都
bbku  朋友們
bbuff 亂烘烘
bburr 亂哄哄
bbutu 亂葬崗
bcbt  貝多芬
bcjws 罕見的
bcmm  貝理雅
bcnh  貝魯特
bdeym 膝上型
bdhmb 財政部
bdhms 財政司
bdhms 財政的
bdhyd 財產權
bdhyh 財產稅
bdukv 乳頭狀
bdumt 乳酸菌
beao 受得住
beav 受影響
beee 受污染
befh 受精卵
begw 受到了
behe 受香港
beho 受重傷
behs 受制於
behs 受委屈
beie 受感染
bejj 受害者
bejj 受惠者
bejo 受害人
bejo 受惠人
bejs 受惠於
bejy 受教育
bemi 受政府
benh 受限制
beno 受不住
benw 受不了
beoj 受傷害
beoo 受任何
beoo 受保人
beos 受僱於
beoy 受保護
berbj 胳肢窩
bess 受聘於
beto 受益人
betz 受歡迎
bevj  愛好者
bewo 受了傷
bewr 受話器
beyj 受訪者
beyo 受託人
bezj 受邀者
bfa   月五日
bfshj 勝利者
bfvb  然後把
bfvg  然後再
bfvy  然後就
bfvy  然後是
bgras 周星馳
bgrdo 周杰倫
bgren 周潤發
bgrto 周華健
bgrtp 周期性
bgrwd 周恩來
bgrws 周圍的
bhedo 股東會
bhejf 股資料
bhems 股票的
bheoh 股份制
bheos 股價的
bheqj 販毒案
bheys 股市的
bhlz  彩虹道
biaa  多問題
biay  多得是
bibd  多目標
bibh  多用戶
bibz  多用途
bics  多公司
bifc  多少錢
bifi  多少次
bifo  多少人
bifo  多少個
bifo  多少年
bifr  多少呢
bify  多半是
bigy  多都是
bihb  多很多
bihe  多香港
biis  多麼的
biiu  多我們
bijf  多資料
bika  多有關
bilo  多數人
bilw  多中國
bily  多數是
bimb  多面體
bime  多瑙河
bimi  多一次
bimi  多功能
bimo  多一個
bimo  多元化
bimo  多工作
bims  多元的
bimw  多一點
bimw  多面睇
bimz  多一些
bina  多小時
bini  多不能
bini  多角度
biob  多使用
biob  多個月
biob  多倫多
biod  多年來
biog  多人都
bioq  多年生
bios  多年的
biot  多年前
biov  多年後
bisi  多層次
bisy  多的是
bitm  多萬元
bito  多其他
bito  多樣化
bitp  多樣性
bium  月我們
bivb  多媒體
biwf  多國家
biwn  多了解
biym  多方面
bizz  月底止
bjbea 肺活量
bjbob 肺氣腫
bjbxd 肺結核
bjcj  軍公教
bjfi  軍火庫
bjfy  軍火商
bjho  軍委會
bjnee 貯水池
bjri  軍器廠
bjvn  軍樂隊
bjvtm 胺基酸
bkgbt 雞冠花
bkgse 雞尾酒
bknhq 胰島素
blrd  腳踏板
bmqmb 冠亞軍
bmqmh 冠亞季
bmqpk 冠心病
bnam  則顯示
bndwy 孚眾望
bnek  則沒有
bnikk 冤大頭
bnka  則有關
bnmm  則需要
bnni  則可能
bnnv  則可以
bnpq  則包括
bnqm  則表示
bnqo  則提供
bnrtl 贍養費
bnrwm 膽固醇
bnrxm 膽結石
bnyi  則認為
boas 部門的
bomb 部電腦
bosh 部長制
bqat  用得著
bqhs  用戶的
bqhs  用自己
bqly  用中文
bqma  用電量
bqmb  用電腦
bqmo  用一個
bqmw  用電話
bqnt  用不著
bqoi  用什麼
bqoo  用任何
bqpg  用心去
bqqq  用手指
bqsy  用的是
bqti  用甚麼
bqto  用其他
bqzo  用這個
braa  同時間
bray  同時亦
brfm  同類型
brhe  同香港
brhs  同等的
briy  同我講
brju  同事們
brmh  同一種
brmm  同一天
brmo  同一個
brms  同一的
broq  同位素
brpp  同情心
brpv  同性戀
brro  同路人
brtd  同樣地
brtk  同樣在
brto  同其他
brto  同樣會
brts  同樣的
brty  同樣是
bruc  同學錄
bruo  同學會
bruu  同學們
brva  同樂日
brvo  同鄉會
bryl  同意書
bryv  同意後
bryy  同你講
bsdkr 爭奪戰
bsdmr 爭霸戰
bsdsg 爭取到
bsdyp 爭議性
bsehh 服兵役
bsenb 服務部
bsenc 服務業
bsenh 服務所
bseni 服務台
bseni 服務社
bsenl 服務中
bsenl 服務費
bsenn 服務隊
bsenp 服務性
bsenq 服務生
bsenr 服務員
bsenr 服務器
bsens 服務於
bsens 服務的
bsenw 服務團
bsenx 服務網
bseny 服務站
bseny 服務處
bshe  助香港
bsiu  助我們
bsmr  助理員
bsou  助他們
bssr  助聽器
bsuc  助學金
bsyj  助產士
btbhe 購物滿
btbhj 購物車
btbho 購物袋
btbwj 購買者
btbwk 購買力
btbws 購買的
btckc 賺大錢
bttcc 髒兮兮
bttdm 髒東西
btwki 貓頭鷹
bucm  目錄下
budo  目標價
budy  目標是
bujj  目擊者
bunav 剛開始
bunbk 剛剛在
bunji 剛完成
bunvy 剛好是
bunzg 剛過去
busd  目的地
busy  目的是
butm  目前正
buts  目前的
bvvcn 臘八粥
bweh  腦溢血
bwel  腦海中
bwix  腦神經
bwme  腦震盪
bwuh  腦出血
bwyh  腦充血
bxrj  月結單
byrco 賠錢貨
bysbk 膀胱癌
bzly  體中文
bzns  體發展
bzog  體會到
bzsg  體驗到
bzyg  體育場
bzyh  體育科
bzyh  體育節
bzyl  體育版
bzyo  體育會
bzyo  體育館
bzyw  體育界
bzyy  體育課
bzzi  體適能
caci  曾鈺成
cacz  曾說過
cago  曾志偉
caqu  曾提出
catd  曾蔭權
catg  曾蔭培
caxk  曾經在
caxk  曾經有
caxy  曾經是
cbrce 銅鑼灣
cbrhr 銅臭味
cbumf 鋼琴家
cccn  貧鈾彈
cdbn  業服務
cdcs  業公司
cdlp  業中心
cdnb  業務部
cdny  業務上
cead  錄影機
ceak  錄影帶
ceok  錄像帶
ceyd  錄音機
ceyj  錄音室
ceyk  錄音帶
cfbcj 銷金窟
cfboa 銷售量
cfboh 銷售稅
cfboj 銷售額
cfbos 銷售的
cfbow 銷售點
cfboy 銷售處
cgcb  鐵公雞
cgdd  鐵欄杆
cgdf  鐵板燒
cgmz  金城武
cgos  鐵飯碗
cgrx  鐵路網
cgrx  鐵路線
cgzs  鐵達尼
chbdj 錦標賽
chcvi 頒獎禮
chgce 鍾鎮濤
chgmx 鍾麗緹
chio  金牛座
chke  鑽狗洞
chmu  鑽石山
chsr  金管局
ciaj  公開賽
ciao  公開信
ciay  公開試
cidk  公權力
cigs  公賣局
cihc  公積金
ciitm 錢其琛
cijb  公安部
ciji  公安廳
cijp  公事包
cijs  公安局
cims  公正的
cimt  公元前
cinr  公務員
ciok  公信力
ciow  公佈了
cipd  公平地
cips  公平的
cird  公民權
cirs  公民的
cise  公司法
cise  公司派
cisk  公司在
ciso  公司內
ciso  公司化
ciss  公司的
citc  公益金
ciws  公眾的
ciyi  公認為
cjep  針對性
cjgr  金字塔
ckcln 釜中魚
ckwy  父母親
ckyh  父親節
clvk  金牌獎
cma   金正日
cmbe  金融股
cmcd  金融業
cmnld 釘書機
cmwl  金融界
cnru  弟兄們
cobo  八月份
cocw  八八四
cofq  八五折
cofw  八五四
cohl  八行書
cohm  八千元
coht  八千萬
cojc  八十八
cojf  八十五
cojj  八十七
cojk  八十九
cojm  八十三
cojm  八十二
cojn  八寶粥
cojt  八十萬
cojw  八十四
cojy  八十六
coko  八九年
como  八零年
comt  八百萬
cona  八小時
conw  八陣圖
coob  八個月
coom  八億元
coos  八年的
coou  八仙嶺
cotm  八萬元
covk  金像獎
cowf  八四五
cowm  八四二
coww  八四四
coza  八通關
cozz  八達通
cpini 釣魚台
cqqp  金手指
crek  卻沒有
crgi  卻未能
crni  卻不能
crni  卻可能
crni  卻發現
crnk  卻不知
crno  卻不會
crnv  卻可以
crny  卻不是
crob  卻仍然
crody 欲查詢
croe  卻無法
crroc 鋁合金
cruqy 兌換率
crutm 兌美元
crwi  卻因為
crygd 哭起來
csbn  分服務
cscc  分分鐘
csco  分鐘內
cscs  分公司
cscs  分鐘的
cscv  分鐘後
cscy  分銷商
csdf  分析家
csdh  分析師
csdo  分析儀
csdr  分析員
csds  分析的
cseu  分水嶺
csfs  分類的
csfy  分判商
cslz  金屬片
csmn  分配予
csms  分裂的
csms  分配的
csmx  分配給
csna  分不開
csne  分不清
csnh  分階段
csow  分佈圖
csri  分別為
csrk  分別在
csrs  分別於
csry  分別是
csvk  金馬獎
csxj  分組賽
csyo  分享會
ctkff 鎂光燈
ctnu  金黃色
ctrj  錯別字
ctyy  錯誤率
ctzw  錯過了
cuae  說得對
cual  說明書
cuao  說明會
cuav  說得好
cuaw  說明了
cuay  說得上
cuay  說明文
cubk  說服力
cued  說清楚
cuek  說沒有
cugd  說起來
cugi  說到底
cugy  說都是
cugz  說到這
cuhe  說香港
cuhk  說所有
cuhs  說自己
cuiu  說我們
cuiy  說應該
cujj  說故事
cujk  說實在
cujs  說真的
cuka  說有關
cukw  說大話
cumi  說政府
cumo  說一個
cump  說一句
cune  說不清
cuni  說不能
cuni  說可能
cunj  說不定
cunm  說不要
cunu  說不出
cunv  說可以
cuny  說不上
cuny  說不是
cuoi  說什麼
cuoo  說任何
cuou  說他們
cusw  說的話
cusy  說的是
cuti  說甚麼
cuud  說出來
cuww  說瞎話
cuyj  說謊者
cuyu  說你們
cuyy  說就是
cuzg  說過去
cveh  銀河系
cvhb  銀行股
cvhc  銀行業
cvhf  銀行家
cvhw  銀行界
cvvn  銀樂隊
cvxe  銀線灣
cvyh  銀主盤
cybm  鐘乳石
cyqe  金文泰
czaa  交易日
czaa  交易量
czah  交易所
czaj  交易額
czao  交易會
czas  交易的
czay  交易商
czbk  交朋友
czem  交流電
czeo  交流會
czes  交流區
czes  交流的
czew  交叉點
czew  交流團
czey  交匯處
czey  交流站
czjmt 鏈球菌
czmy  交功課
czqd  交換機
cztn  金紫荊
czvv  交響樂
czvw  交響曲
czwy  交界處
czzb  交通部
czzf  交通燈
czzl  交通費
czzt  交通警
dahbi 楊受成
dahbv 楊采妮
dahhv 楊千嬅
dahlv 楊貴妃
dahtv 楊恭如
dahzm 楊紫瓊
damdf 榻榻米
damjt 查字典
dammd 查一查
damri 查號台
damya 查詢時
damyn 查詢及
damys 查詢的
dauhl 概算書
dauob 概念股
dbap  相關性
dbas  相關的
dbbs  相同的
dbed  相對地
dbep  相對性
dbes  相對於
dbes  相對的
dbey  相對論
dbfb  相當多
dbfg  相當高
dbfk  相當大
dbfs  相當於
dbfs  相當的
dbfv  相當好
dbhch 鬱金香
dbhd  相反地
dbhs  相等於
dbmo  相配合
dbnep 刺激性
dboe  相信對
dboi  相信我
dbpj  相比較
dbxo  相結合
dbzi  相適應
dcinn 松隆子
dcks  橫頭磡
ddag  林曉培
ddeu  林海峰
ddff  林煥光
ddfhb 禁衛軍
ddfho 禁制令
ddfno 禁不住
ddfof 焚化爐
ddhfl 材料費
dditb 梵蒂岡
ddni  林子祥
ddom  林黛玉
ddop  林保怡
ddpv  林心如
ddpz  林憶蓮
ddqm  林青霞
ddst  林熙蕾
deay  皮影戲
decy  地鐵站
dedy  地檢處
degi  地址為
dehe  地香港
dehw  地籍圖
deiu  地我們
dekl  地頭蛇
deks  地帶的
dele  地中海
demc  地下鐵
demd  地球村
deme  地下水
demh  地理科
demj  地下室
demo  地工作
dems  地政司
dems  地政局
dems  地球的
demu  地理學
demw  地政署
demy  地政處
demy  地球上
demy  地面上
demz  地下道
dens  地發展
denv  地可以
deob  地使用
depb  皮包骨
depx  地平線
deqo  地提供
desp  地區性
dewh  地回答
dewy  地圖上
deyb  地產股
deyc  地產業
deyg  地方都
deyh  皮膚科
deyk  皮膚病
deyp  地方性
deyss 地方的
deyy  地產商
dfess 隸屬於
dfwaa 檔問題
dfwjj 檔案室
dfwjo 檔案館
dfwjs 檔案的
dgmu  杜琪峰
dhaer 柏油路
dhag  才得到
dhajt 柏克萊
dhaqw 柏拉圖
dhav  才得以
dhayt 柏立基
dhbko 橋頭堡
dhbxr 棉織品
dhetb 板著臉
dhhy  才算是
dhik  才能有
dhin  才能夠
dhiv  才能將
dhkz  才知道
dhmm  才正式
dhni  才可能
dhno  才不會
dhnv  才可以
dhok  才會有
dhou  才作出
djmj  末班車
djrde 榕樹灣
djth  末期息
dkko  校友會
dkny  校務處
dkqo  校提供
dkto  校董會
dkue  教學法
dkzbd 整體來
dkzbp 整體性
dkzmv 整理好
dkzoj 整件事
dkzoo 整個人
dlbwm 橢圓形
dloww 桃園縣
dmat  本星期
dmbn  本服務
dmbo  本月份
dmby  本體論
dmcs  本公司
dmdk  本來在
dmdk  本來有
dmdo  本地人
dmdo  本地化
dmds  本來的
dmds  本地區
dmds  本地的
dmdy  本來是
dmeh  本活動
dmei  本港台
dmes  本港的
dmfem 標準下
dmfem 標準型
dmfeo 標準化
dmfeo 標準舞
dmfes 標準的
dmflh 杯中物
dmfsh 標的物
dmfyt 標誌著
dmgo  本土化
dmgy  本報訊
dmhk  本身在
dmhq  本科生
dmhs  本質的
dmhs  本身的
dmhx  本系統
dmhy  本質上
dmkdd 橄欖樹
dmkde 橄欖油
dmmfl 極少數
dmmhm 極重要
dmmmm 極需要
dmoi  本年度
dmoo  本條例
dmos  本人的
dmow  本集團
dmpx  本世紀
dmtp  本益比
dmvhy 棲息處
dmxm  本網頁
dmyr  本產品
dnbd  李彩樺
dnbn  李鵬飛
dndc  李柱銘
dnec  李澤鉅
dneo  李淑儀
dnfd  李燦森
dnff  李光耀
dngh  李嘉欣
dngy  李嘉誠
dnjt  李克勤
dnlt  李兆基
dnmm  李珊珊
dnmm  李麗珊
dnmm  李麗珍
dnmv  李麗娟
dnnf  李登輝
dnnv  李小姐
dnny  李小龍
dnok  木乃伊
dnth  李斯特
dnts  李鄭屋
dnvt  李婉華
dnzd  李連杰
dnzq  李遠哲
doodh 檢查和
doody 檢查站
dooje 檢字法
doojj 檢察官
doojn 檢察院
dooyo 檢討會
dooys 檢討的
doyi  木偶戲
doyut 梅艷芳
dpag  想得到
dpam  想問下
dpfb  想當然
dpfo  想當年
dpfy  想嘗試
dpgd  想起來
dphy  想告訴
dpii  想成為
dpiu  想我們
dpkz  想知道
dpmd  想一想
dpms  想要的
dpnd  想不想
dpng  想不到
dpnu  想不出
dpok  想像力
dpol  想像中
dpqq  想看看
dpwd  想了想
dpye  想辦法
dqqdf 棒棒糖
dqqdw 棒極了
dqqmg 棒球場
dqqmj 棒球賽
dqqmn 棒球隊
drtd  杏花村
drtp  杏花
dscrd 櫃員機
dtan  來得及
dted  來源地
dtej  來決定
dtey  來源證
dtgaa 權問題
dtghk 權所有
dtgip 權威性
dtgts 權益的
dtgw  來到了
dthe  來香港
dths  來自於
dtid  來福槍
dtiu  來我們
dtkhh 模特兒
dtkms 模式的
dtkqr 模擬器
dtmi  來一次
dtmj  來形容
dtmo  來一個
dtnn  來不及
dtou  來他們
dtqz  來表達
dtyy  來討論
dtzg  來達到
dtzl  來這裡
dvdn  根本不
dvdp  根本性
dvdy  根本上
dvdy  根本就
dvdy  根本是
dvqd  根據地
dvqs  根據的
dweg  東港城
dwex  東涌線
dwfgj 柬埔寨
dwfu  東半山
dwjb  東南部
dwjm  東南亞
dwkp  東頭
dwky  東九龍
dwlb  東北部
dwly  東北方
dwmf  東三省
dwmy  東西方
dwswd 楞了楞
dwty  東莞市
dwye  東帝汶
dwyss 東方的
dwzy  東道主
dymhu 檀香山
dyniy 杭州市
dyocm 核分裂
dyolh 核數師
dyomi 核電廠
dyomr 核武器
dzcy  機鐵站
dzdm  機械式
dzdo  機械人
dzdo  機械化
dzds  機構的
dzgh  機場稅
dzhj  機動車
dzhs  機管局
dzlp  機中心
dzmw  機電署
dzoy  機會率
dzro  機器人
eaelf 漫畫家
eaell 漫畫書
eafee 濕淋淋
eagee 潤滑油
eagey 潤滑劑
eaphh 混血兒
eapig 混凝土
eapoh 混合物
ebad  清晰地
ebah  清明節
ebai  清晰度
ebbcy 滑鐵盧
ebbjd 渦輪機
ebbmg 滑雪場
ebded 深深地
ebdeg 深水埔
ebdeg 深水埗
ebdeh 浮水印
ebdgy 深圳市
ebdjh 浮士德
ebdms 深厚的
ebdos 深入的
ebdps 深切的
ebdrr 深呼吸
ebds  清楚的
ebdtn 深藍色
ebee  清水灣
ebem  清潔工
ebey  清潔劑
ebhhs 沉重的
ebjg  清真寺
eblm  水彩畫
ebmn  清一色
ebnah 測量師
ebnao 測量儀
ebnzr 測速器
ebrjk 洞察力
ebrme 滘西洲
ebsjy 淨資產
ebzq  清道夫
edeiz 漆咸道
edejp 波士頓
edete 波斯灣
edewj 波羅蜜
edkaa 決問題
edkhj 決策者
edkhl 決算書
edkhs 決策局
edkjd 決定權
edkjm 決定要
edkjp 決定性
edkjv 決定以
edkjv 決定將
edkni 決不能
edkno 決不會
edkny 決不是
edkyj 決議案
edmpu 渣甸山
eeaa  沒問題
eeaa  沒時間
eeao  沒關係
eebn  沒多久
eeba  沒把握
eedg  沒想到
eedl  沒來由
eedoe 桑拿浴
eedz  沒想過
eeed  水污染
eekb  沒有把
eekb  沒有用
eekc  沒有錢
eekc  沒有錯
eekd  沒有來
eeke  沒有對
eekj  沒有做
eeko  沒奈何
eeko  沒有人
eeko  沒有像
eekw  沒有了
eeky  沒有你
eekz  沒有這
eekz  沒有過
eeoi  沒什麼
eeoq  水滸傳
eeqo  沒規矩
eerds 洛杉磯
eesi  沒那麼
eeti  沒甚麼
eeuh  沒出息
eevo  沒好氣
eevwa 婆羅門
eevwe 婆羅洲
eewy  沒見識
eewz  沒見過
eeye  沒辦法
eeyw  沒意思
eezm  沒道理
efbfd 消火栓
efbhc 消息說
efbhg 消息報
efbhh 消息稱
efbho 消委會
efbhq 消息指
efbhs 消失的
efbhw 消失了
efbla 消費量
efblh 消費稅
efblj 消費者
efblr 消費品
efbnj 消防車
efbnn 消防隊
efbnr 消防員
efbns 消防局
efbny 消防處
efboz 消化道
efbqa 消耗量
effee 淡水湖
effen 淡水魚
effes 淡淡的
eghu  法律學
eghw  法律界
eghy  法律上
egjej 準決賽
egjm  法輪功
egjoc 準備金
egjos 準備的
egjov 準備好
egjow 準備了
egjsd 準確地
egjsi 準確度
egjsp 準確性
egjyi 準新郎
egjyv 準新娘
egmt  法西斯
egnb  法務部
egos  法例的
egqh  法拉利
egtj  法蘭克
egtm  法蘭西
eguie 澆冷水
egwo  法國人
egyi  法新社
ehajo 泊車位
ehfg  沙勞越
ehhv  沙律醬
ehkes 澳洲的
ehkn  沙頭角
ehmn  沙丁魚
ehnsj 瀏覽者
ehnsr 瀏覽器
ehnsx 瀏覽網
ehpsy 添加劑
ehrfu 活火山
ehrha 活動日
ehrhj 活動室
ehrho 活動會
ehrhs 活動的
ehrmg 活下去
ehrqq 活生生
ehs   水質的
ehttt 盪鞦韆
ehubc 洗臉盆
ehuqa 洗手間
ehusd 洗碗機
ehuwc 洗黑錢
ehuyd 洗衣機
ehuyi 洗衣店
ehvuh 派出所
ehwg  沙田坳
ehws  沙田區
ehws  沙田的
eidcd 梁錦松
eidey 梁漢文
eidhg 梁啟超
eidjo 梁朝偉
eidoy 梁愛詩
eidqt 梁振英
eidue 梁山泊
eidwk 梁國雄
eidym 梁詠琪
eiejb 渡蜜月
eieod 渡假村
eiffr 滅火器
eifyr 滅音器
eiiee 淺水灣
eiitn 淺藍色
eimor 減價戰
einey 泳灘亦
eirkb 治療部
eirke 治療法
eirkh 治療師
eives 浪漫的
ejbjf 湖南省
ejblf 湖北省
ejef  水資源
ejled 漸漸地
ejles 漸漸的
ejlzm 漸進式
elupp 沈甸甸
elwid 油麻地
elwtt 油菜花
elwyy 油亮亮
elxh  沖繩島
emaec 潛水鏡
emaeh 潛水艇
emaer 潛水員
emaey 潛水衣
emakp 潛在性
emaot 潛伏期
emayy 潛意識
emer  江澤民
emfhy 漂白劑
emgat 汪明荃
emhaj 鴻門宴
emmf  江西省
emnkd 汀九橋
emnnr 汀角路
emrjf 河南省
emrlf 河北省
emsee 污水渠
emseh 污染物
emtf  江蘇省
emwic 酒店業
emyi  江主席
enfty 漁農處
enfyw 漁護署
enos  灣仔區
enoz  灣仔道
ensyd 湧上來
enwa  水務署
eogjn 淮南子
eomy  漢武帝
eonjc 汽車業
eoop  漢堡包
eoryo 洽談會
eoyae 海關法
eoyeg 海港城
eoyet 海洛英
eoyew 海洛因
eoyjf 海南省
eoyjh 海南島
eoyjy 海事處
eoynj 海陸空
eoyns 海外的
eoyon 海內外
eoypm 海平面
eoyux 海岸線
epdlh 池中物
epoej 淘汰賽
eps   水平的
epuef 泡泡糖
eqaa  對問題
eqag  對得起
eqaq  對照表
eqbn  對服務
eqcs  對公司
eqcw  對公眾
eqdb  對整體
eqhe  對香港
eqhk  對所有
eqhs  對自己
eqic  對我說
eqio  對社會
eqis  對我的
eqiu  對我們
eqka  對有關
eqkgl 湊熱鬧
eqlef 浙江省
eqlw  對中國
eqly  對中文
eqmi  對政府
eqmo  對一個
eqmo  對工作
eqne  對不對
eqng  對不起
eqns  對發展
eqob  對使用
eqoc  對他說
eqod  對內地
eqoo  對任何
eqou  對他們
eqpi  對比度
eqqp  對抗性
eqro  對唔住
eqtj  對著幹
eqto  對其他
eqvv  對婦女
eqwc  對話錄
eqwf  對國家
eqyc  對你說
eqyd  對講機
eqyu  對你們
eqzg  對過去
eqzj  對此事
eqzo  對這個
erba  各部門
erdm  各地玩
erds  各地區
erds  各地的
erdy  各地方
erfm  各類型
erfy  各省市
ergy  各城市
erhc  各行業
erhs  各種的
erka  各有關
erke  各有各
erkt  各有其
erku  各大學
erlu  各中學
ermi  各政府
ernd  各院校
ernh  各階段
erns  各階層
eroc  各企業
erro  各單位
erry  各民族
erud  各學校
erwb  各團體
erym  各方面
esdnw 渠務署
eseoo 浸信會
eseq  匯流排
esgkt 渥太華
esnto 涮羊肉
espes 泥水匠
esptt 泥菩薩
etbfx 滿堂紅
etbma 滿天星
etbmn 滿天飛
etbri 滿足感
etbrs 滿足於
etbrw 滿足了
etbvi 滿以為
etced 洪水橋
etcma 洪天明
etdm  水樣本
etet  洋溢著
etgdt 灌木叢
etgko 灘頭堡
etgrl 灌唱片
etio  水瓶座
etuch 港交所
etueg 港水域
etuei 港澳台
etuey 港澳辦
etuez 港灣道
etuhk 港所有
etuhs 港島區
etulp 港中心
etumi 港政府
etumo 港工作
etuns 港發展
etuyl 港產片
etuyr 港產品
etuzs 港進聯
etvv  洋娃娃
etzt  洋紫荊
euam  流星雨
euaq  流量表
euee  流浪漢
euei  流水席
euel  流水帳
eueu  流浮山
euhp  流動性
euhs  流動的
euhs  流行於
euhs  流行的
euhw  流程圖
euhw  流行曲
euhy  流失率
euky  汕頭市
eumu  流露出
eure  流口水
euza  流通量
ewee  淚汪汪
ewlm  水墨畫
ewoh  淚人兒
ewthe 溫泉浴
ewtmt 溫哥華
eydee 游泳池
eydjn 游擊隊
eyghc 注射針
eyghh 注射筒
eyghr 注射器
eygit 注視著
eygyg 注意到
eygyk 注意力
eykab 液晶體
