ch,rank
味,0768
舊,0769
湖,0770
貨,0771
彈,0772
損,0773
預,0774
阻,0775
毫,0776
乙,0777
普,0778
穩,0779
媽,0780
植,0781
息,0782
擴,0783
銀,0784
語,0785
揮,0786
酒,0787
雲,0788
守,0789
拿,0790
序,0791
紙,0792
醫,0793
熟,0794
缺,0795
雨,0796
嗎,0797
針,0798
劉,0799
啊,0800
急,0801
唱,0802
訓,0803
誤,0804
願,0805
審,0806
血,0807
附,0808
茶,0809
鮮,0810
糧,0811
斤,0812
孩,0813
脫,0814
硫,0815
善,0816
肥,0817
演,0818
龍,0819
父,0820
漸,0821
歡,0822
掌,0823
械,0824
歌,0825
沙,0826
獲,0827
著,0828
剛,0829
製,0830
攻,0831
謂,0832
盾,0833
討,0834
晚,0835
佈,0836
粒,0837
亂,0838
燃,0839
矛,0840
乎,0841
殺,0842
複,0843
藥,0844
寧,0845
魯,0846
貴,0847
煤,0848
伯,0849
讀,0850
班,0851
句,0852
香,0853
迫,0854
介,0855
豐,0856
培,0857
握,0858
蘭,0859
弦,0860
擔,0861
蛋,0862
沉,0863
假,0864
執,0865
穿,0866
答,0867
誰,0868
順,0869
煙,0870
縮,0871
臉,0872
喜,0873
腳,0874
異,0875
免,0876
困,0877
背,0878
星,0879
福,0880
買,0881
染,0882
井,0883
概,0884
慢,0885
怕,0886
游,0887
磁,0888
倍,0889
祖,0890
皇,0891
薄,0892
促,0893
靜,0894
補,0895
評,0896
鐘,0897
翻,0898
肉,0899
踐,0900
尼,0901
衣,0902
寬,0903
揚,0904
棉,0905
希,0906
傷,0907
操,0908
藏,0909
垂,0910
宜,0911
秋,0912
氫,0913
露,0914
套,0915
督,0916
筆,0917
振,0918
亮,0919
憲,0920
末,0921
架,0922
慶,0923
綠,0924
編,0925
牛,0926
映,0927
觸,0928
銷,0929
雷,0930
座,0931
詩,0932
居,0933
抓,0934
裂,0935
胞,0936
呼,0937
娘,0938
景,0939
盟,0940
威,0941
晶,0942
厚,0943
衡,0944
孫,0945
延,0946
雞,0947
危,0948
膠,0949
屋,0950
鄉,0951
沖,0952
臨,0953
陸,0954
顧,0955
掉,0956
呀,0957
奇,0958
燈,0959
歲,0960
措,0961
束,0962
耐,0963
劇,0964
玉,0965
趙,0966
跳,0967
哥,0968
季,0969
課,0970
凱,0971
額,0972
齊,0973
款,0974
紹,0975
偉,0976
蒸,0977
永,0978
殖,0979
宗,0980
苗,0981
川,0982
爐,0983
弱,0984
楊,0985
零,0986
奏,0987
沿,0988
岩,0989
探,0990
滑,0991
鎮,0992
飯,0993
濃,0994
航,0995
懷,0996
趕,0997
庫,0998
奪,0999
伊,1000
稅,1001
靈,1002
途,1003
滅,1004
賽,1005
召,1006
歸,1007
鼓,1008
播,1009
盤,1010
裁,1011
險,1012
康,1013
唯,1014
錄,1015
菌,1016
純,1017
蓋,1018
橫,1019
繫,1020
私,1021
符,1022
努,1023
堂,1024
域,1025
糖,1026
槍,1027
潤,1028
幅,1029
哈,1030
竟,1031
澤,1032
腦,1033
壤,1034
碳,1035
歐,1036
側,1037
遍,1038
寨,1039
干,1040
敢,1041
徹,1042
惡,1043
慮,1044
斜,1045
庭,1046
納,1047
于,1048
塞,1049
折,1050
飼,1051
伸,1052
濕,1053
麥,1054
荷,1055
暗,1056
瓦,1921
床,1058
卡,1059
築,1060
戶,1061
塔,1062
訪,1063
透,1064
刀,1065
旋,1066
借,1067
氯,1068
遇,1069
份,1070
毒,1071
泥,1072
退,1073
洗,1074
蟲,1075
擺,1076
灰,1077
彩,1078
賣,1079
圈,1080
耗,1081
夏,1082
擇,1083
忙,1084
獻,1085
銅,1086
硬,1087
予,1088
削,1089
卷,1090
繁,1091
雪,1092
亦,1093
函,1094
抽,1095
篇,1096
陣,1097
陰,1098
丁,1099
尺,1100
追,1101
堆,1102
盛,1103
雄,1104
迎,1105
泛,1106
樓,1107
爸,1108
避,1109
謀,1110
噸,1111
野,1112
豬,1113
旗,1114
偏,1115
典,1116
館,1117
索,1118
秦,1119
脂,1120
潮,1121
爺,1122
忽,1123
塑,1124
遺,1125
松,1126
累,1127
愈,1128
朱,1129
替,1130
纖,1131
豆,1132
傾,1133
粗,1134
尚,1135
痛,1136
楚,1137
驚,1138
壁,1139
衝,1140
謝,1141
奮,1142
購,1143
磨,1144
君,1145
池,1146
旁,1147
碎,1148
骨,1149
徵,1150
監,1151
捕,1152
弟,1153
胡,1154
暴,1155
割,1156
殊,1157
貫,1158
釋,1159
托,1160
詞,1161
頓,1162
寶,1163
午,1164
塵,1165
聞,1166
揭,1167
炮,1168
殘,1169
橋,1170
婦,1171
綜,1172
警,1173
招,1174
吳,1175
付,1176
浮,1177
遭,1178
徐,1179
冬,1180
您,1181
搖,1182
谷,1183
箱,1184
隔,1185
訂,1186
男,1187
吹,1188
園,1189
柱,1190
唐,1191
紛,1192
敗,1193
嘴,1194
宋,1195
玻,1196
巨,1197
耕,1198
坦,1199
榮,1200
灣,1201
閉,1202
鍵,1203
剝,1204
凡,1205
並,1206
駐,1207
救,1208
鍋,1209
恩,1210
凝,1211
堿,1212
齒,1213
截,1214
跡,1215
麻,1216
禁,1217
紡,1218
廢,1219
版,1220
緩,1221
淨,1222
睛,1223
昌,1224
婚,1225
涉,1226
筒,1227
插,1228
岸,1229
朗,1230
莊,1231
街,1232
姑,1233
貿,1234
奴,1235
煉,1236
腐,1237
啦,1238
慣,1239
乘,1240
恢,1241
勻,1242
梁,1243
紗,1244
辯,1245
耳,1246
彪,1247
抵,1248
臣,1249
億,1250
脈,1251
璃,1252
秀,1253
薩,1254
俄,1255
網,1256
舞,1257
店,1258
噴,1259
縱,1260
寸,1261
童,1262
汗,1263
洪,1264
賀,1265
閃,1266
掛,1267
柬,1268
爆,1269
烯,1270
勒,1271
津,1272
軋,1273
稻,1274
軟,1275
勇,1276
像,1277
杆,1278
厘,1279
滾,1280
蒙,1281
芳,1282
肯,1283
坡,1284
腿,1285
儀,1286
旅,1287
尾,1288
伙,1289
蕩,1290
冰,1291
貢,1292
登,1293
黎,1294
鑽,1295
秘,1296
逃,1297
障,1298
氨,1299
湯,1300
郭,1301
亡,1302
峰,1303
幣,1304
港,1305
伏,1306
夢,1307
畝,1308
軌,1309
畢,1310
擦,1311
莫,1312
刺,1313
浪,1314
援,1315
株,1316
健,1317
售,1318
股,1319
采,1320
島,1321
泡,1322
甘,1323
睡,1324
鑄,1325
休,1326
閥,1327
牧,1328
繞,1329
哲,1330
炸,1331
磷,1332
朋,1333
績,1334
淡,1335
啟,1336
尖,1337
陷,1338
柴,1339
呈,1340
徒,1341
顏,1342
淚,1343
稍,1344
忘,1345
扎,1346
泵,1347
藍,1348
拖,1349
洞,1350
弄,1351
授,1352
鏡,1353
埔,1354
壯,1355
辛,1356
鋒,1357
虛,1358
貧,1359
佛,1360
彎,1361
摩,1362
泰,1363
匯,1364
幼,1365
尊,1366
廷,1367
窗,1368
綱,1369
氏,1370
隸,1371
疑,1372
宮,1373
姐,1374
震,1375
瑞,1376
怪,1377
尤,1378
夾,1379
循,1380
琴,1381
描,1382
膜,1383
違,1384
珠,1385
緣,1386
腰,1387
枝,1388
森,1389
窮,1390
竹,1391
溝,1392
催,1393
憶,1394
繩,1395
邦,1396
剩,1397
欄,1398
漿,1399
擁,1400
牙,1401
貯,1402
禮,1403
濾,1404
鈉,1405
紋,1406
咱,1407
拍,1408
罷,1409
幸,1410
喊,1411
袖,1412
埃,1413
勤,1414
焦,1415
罰,1416
伍,1417
潛,1418
墨,1419
縫,1420
姓,1421
刊,1422
畜,1423
飽,1424
獎,1425
鋁,1426
余,1427
鬼,1428
麗,1429
挖,1430
跨,1431
默,1432
鏈,1433
仿,1434
掃,1435
喝,1436
袋,1437
殼,1438
炭,1439
幕,1440
諸,1441
弧,1442
污,1443
勵,1444
梅,1445
奶,1446
潔,1447
災,1448
舟,1449
鑒,1450
苯,1451
訟,1452
抱,1453
毀,1454
懂,1455
寒,1456
智,1457
寄,1458
屆,1459
躍,1460
挑,1461
渡,1462
丹,1463
艱,1464
貝,1465
拔,1466
爹,1467
戴,1468
碼,1469
芽,1470
碰,1471
赤,1472
漁,1473
哭,1474
鉛,1475
敬,1476
顆,1477
奔,1478
欲,1479
仲,1480
柯,1481
稀,1482
虎,1483
妹,1484
乏,1485
珍,1486
桌,1487
申,1488
遵,1489
允,1490
螺,1491
隆,1492
倉,1493
魏,1494
曉,1495
銳,1496
征,1497
兼,1498
氮,1499
隱,1500
牆,1501
礙,1502
赫,1503
忠,1504
撥,1505
准,1506
肅,1507
缸,1508
搶,1509
牽,1510
博,1511
巧,1512
兄,1513
杜,1514
訊,1515
誠,1516
碧,1517
祥,1518
頁,1519
巡,1520
矩,1521
尋,1522
悲,1523
灌,1524
齡,1525
倫,1526
票,1527
桂,1528
聖,1529
恰,1530
恐,1531
鄭,1532
趣,1533
抬,1534
荒,1535
貼,1536
騰,1537
柔,1538
滴,1539
呵,1540
猛,1541
輛,1542
闊,1543
勁,1544
妻,1545
填,1546
撤,1547
儲,1548
舍,1549
淺,1550
鬧,1551
擾,1552
紫,1553
讚,1554
砂,1555
戲,1556
遞,1557
吊,1558
陶,1559
伐,1560
療,1561
瓶,1562
婆,1563
臂,1564
撫,1565
摸,1566
忍,1567
蝦,1568
胸,1569
鄰,1570
偶,1571
擠,1572
棄,1573
鞏,1574
鋪,1575
乳,1576
槽,1577
鬆,1578
仁,1579
吉,1580
鄧,1581
熔,1582
爛,1583
磚,1584
租,1585
簽,1586
烏,1587
艦,1588
伴,1589
瓜,1590
丙,1591
暫,1592
燥,1593
譜,1594
橡,1595
暖,1596
柳,1597
牌,1598
秧,1599
縴,1600
迷,1601
膽,1602
詳,1603
簧,1604
踏,1605
呆,1606
瓷,1607
賓,1608
洛,1609
糊,1610
憤,1611
競,1612
隙,1613
怒,1614
粘,1615
乃,1616
緒,1617
肩,1618
籍,1619
輝,1620
敏,1621
熙,1622
皆,1623
桿,1624
偵,1625
懸,1626
掘,1627
享,1628
糾,1629
醒,1630
狂,1631
鎖,1632
恨,1633
牲,1634
霸,1635
誌,1636
爬,1637
賞,1638
玩,1639
逆,1640
陵,1641
祝,1642
浙,1643
秒,1644
貌,1645
役,1646
彼,1647
悉,1648
冒,1649
鴨,1650
蠟,1651
趨,1652
塗,1653
鳳,1654
晨,1655
輩,1656
秩,1657
卵,1658
署,1659
梯,1660
炎,1661
灘,1662
篩,1663
驅,1664
峽,1665
啥,1666
壽,1667
譯,1668
浸,1669
泉,1670
帽,1671
硅,1672
遲,1673
疆,1674
棋,1675
貸,1676
漏,1677
冠,1678
嫩,1679
稿,1680
脅,1681
芯,1682
牢,1683
叛,1684
蝕,1685
奧,1686
鳴,1687
嶺,1688
羊,1689
憑,1690
串,1691
塘,1692
繪,1693
融,1694
酵,1695
盆,1696
錫,1697
廟,1698
凍,1699
攝,1700
籌,1701
輔,1702
襲,1703
拒,1704
筋,1705
僚,1706
旱,1707
鉀,1708
漆,1709
鳥,1710
眉,1711
添,1712
疏,1713
棒,1714
穗,1715
埋,1716
硝,1717
韓,1718
僑,1719
扭,1720
逼,1721
挺,1722
涼,1723
栽,1724
碗,1725
炒,1726
杯,1727
勸,1728
患,1729
贊,1730
餾,1731
豪,1732
遼,1733
勃,1734
鴻,1735
吏,1736
旦,1737
拜,1738
狗,1739
輥,1740
掩,1741
飲,1742
搬,1743
罵,1744
勾,1745
辭,1746
扣,1747
丈,1748
估,1749
絨,1750
蔣,1751
霧,1752
麵,1753
姆,1754
擬,1755
朵,1756
宇,1757
輯,1758
陝,1759
番,1760
雕,1761
償,1762
蓄,1763
剪,1764
崇,1765
倡,1766
咬,1767
廳,1768
薯,1769
駛,1770
刷,1771
斥,1772
賦,1773
奉,1774
扇,1775
曼,1776
沈,1777
漫,1778
澆,1779
鈣,1780
桃,1781
仔,1782
扶,1783
俗,1784
返,1785
虧,1786
腔,1787
鞋,1788
叔,1789
悄,1790
撞,1791
框,1792
覆,1793
週,1794
騙,1795
勘,1796
旺,1797
沸,1798
孤,1799
黏,1800
吐,1801
孟,1802
屈,1803
渠,1804
仰,1805
妙,1806
惜,1807
疾,1808
辟,1809
狠,1810
脹,1811
諧,1812
拋,1813
喂,1814
霉,1815
桑,1816
哩,1817
衰,1818
嘛,1819
崗,1820
棱,1821
滲,1822
盜,1823
髒,1824
賴,1825
甜,1826
曹,1827
閱,1828
厲,1829
肌,1830
烴,1831
巷,1832
毅,1833
緯,1834
昨,1835
偽,1836
煮,1837
症,1838
搭,1839
釘,1840
莖,1841
籠,1842
嘆,1843
綸,1844
酷,1845
鬍,1846
偷,1847
弓,1848
錐,1849
恒,1850
遊,1851
坑,1852
鼻,1853
敘,1854
獄,1855
翼,1856
絡,1857
逮,1858
湧,1859
罐,1860
抑,1861
棚,1862
膨,1863
寺,1864
砌,1865
蔬,1866
驟,1867
穆,1868
冶,1869
枯,1870
凸,1871
紳,1872
坯,1873
焰,1874
犧,1875
冊,1876
轟,1877
緻,1878
晉,1879
瘦,1880
喪,1881
壟,1882
錠,1883
錦,1884
旬,1885
鍛,1886
邀,1887
欣,1888
亭,1889
酯,1890
舒,1891
邁,1892
憂,1893
脆,1894
閒,1895
撲,1896
漲,1897
羽,1898
酚,1899
頑,1900
卸,1901
拌,1902
仗,1903
陪,1904
姚,1905
懲,1906
杭,1907
捉,1908
肚,1909
飄,1910
漂,1911
搜,1912
吾,1913
昆,1914
欺,1915
郎,1916
汁,1917
烷,1918
蕭,1919
郵,1920
雅,1057
飾,1922
屍,1923
燕,1924
遷,1925
姻,1926
撒,1927
赴,1928
宴,1929
債,1930
帳,1931
煩,1932
斑,1933
旨,1934
鈴,1935
醇,1936
董,1937
姿,1938
雛,1939
餅,1940
傅,1941
妥,1942
腹,1943
拆,1944
捅,1945
揉,1946
澱,1947
賢,1948
歪,1949
葡,1950
丟,1951
徽,1952
浩,1953
胺,1954
墊,1955
昂,1956
擋,1957
覽,1958
貪,1959
慰,1960
抹,1961
繳,1962
馮,1963
樑,1964
汪,1965
慌,1966
諾,1967
姜,1968
誼,1969
闆,1970
劣,1971
耀,1972
誣,1973
攪,1974
昏,1975
盈,1976
躺,1977
喬,1978
溪,1979
騎,1980
叢,1981
盧,1982
譽,1983
咨,1984
悶,1985
屏,1986
駕,1987
倆,1988
悟,1989
纜,1990
摘,1991
擲,1992
餌,1993
堡,1994
頗,1995
幻,1996
惠,1997
柄,1998
佳,1999
慘,2000
仇,2001
御,2002
窩,2003
臘,2004
宿,2005
劍,2006
滌,2007
瞧,2008
潑,2009
罩,2010
蔥,2011
撈,2012
泊,2013
霍,2014
胎,2015
蒼,2016
湘,2017
濱,2018
砍,2019
霞,2020
邵,2021
酬,2022
萄,2023
淮,2024
熊,2025
瘋,2026
遂,2027
烘,2028
糞,2029
戈,2030
檔,2031
嫂,2032
裕,2033
駁,2034
徙,2035
嚇,2036
捐,2037
箭,2038
撐,2039
腸,2040
攤,2041
殿,2042
蓮,2043
辨,2044
醬,2045
疫,2046
哀,2047
堵,2048
蔡,2049
沫,2050
皺,2051
暢,2052
疊,2053
萊,2054
閣,2055
敲,2056
轄,2057
痕,2058
鉤,2059
壩,2060
溜,2061
丘,2062
玄,2063
禍,2064
餓,2065
曰,2066
彭,2067
邏,2068
卿,2069
吞,2070
妨,2071
艇,2072
韋,2073
怨,2074
柏,2075
歇,2076
矮,2077
捻,2078
祿,2079
郊,2080
漠,2081
冤,2082
宏,2083
粹,2084
顛,2085
仙,2086
肪,2087
刮,2088
押,2089
挨,2090
娃,2091
醛,2092
拾,2093
勿,2094
侯,2095
吪,2096
夕,2097
戀,2098
鋅,2099
篡,2100
兆,2101
淋,2102
蓬,2103
豈,2104
釉,2105
妄,2106
拘,2107
捲,2108
魂,2109
摧,2110
氟,2111
頌,2112
渾,2113
誘,2114
蹟,2115
鈾,2116
犁,2117
譴,2118
嘉,2119
墻,2120
戚,2121
扯,2122
滋,2123
猶,2124
舶,2125
萌,2126
頒,2127
焊,2128
舌,2129
匹,2130
嘗,2131
媳,2132
肺,2133
掠,2134
烹,2135
疲,2136
釀,2137
窄,2138
馳,2139
鴉,2140
狹,2141
辱,2142
契,2143
敦,2144
遣,2145
菲,2146
韌,2147
拳,2148
辣,2149
稈,2150
臥,2151
醉,2152
墓,2153
矣,2154
竭,2155
茅,2156
艷,2157
輿,2158
締,2159
賬,2160
尿,2161
葬,2162
履,2163
渣,2164
禽,2165
襯,2166
賠,2167
躲,2168
奸,2169
溉,2170
稼,2171
賊,2172
妃,2173
抖,2174
醋,2175
廉,2176
掀,2177
晴,2178
褲,2179
后,2180
茫,2181
亥,2182
悠,2183
攔,2184
慧,2185
闡,2186
佐,2187
孝,2188
豎,2189
佩,2190
繡,2191
遙,2192
麟,2193
挽,2194
捨,2195
逝,2196
愁,2197
昭,2198
肖,2199
窯,2200
臭,2201
芬,2202
逢,2203
捷,2204
堤,2205
宙,2206
盲,2207
閘,2208
披,2209
輻,2210
鑿,2211
凶,2212
幽,2213
拓,2214
杠,2215
狼,2216
崩,2217
慎,2218
綢,2219
蜂,2220
惟,2221
誓,2222
錶,2223
餐,2224
叉,2225
址,2226
幟,2227
彌,2228
芝,2229
僕,2230
唉,2231
濤,2232
慨,2233
翠,2234
饑,2235
劫,2236
卜,2237
盒,2238
倘,2239
寂,2240
椒,2241
炳,2242
畏,2243
閤,2244
頸,2245
凌,2246
喉,2247
墾,2248
巾,2249
拚,2250
獸,2251
乾,2252
爽,2253
蔽,2254
蘆,2255
掙,2256
竊,2257
譚,2258
謬,2259
褐,2260
傘,2261
儒,2262
翅,2263
顫,2264
剖,2265
晃,2266
胚,2267
湊,2268
濁,2269
眠,2270
杰,2271
霜,2272
礁,2273
蔑,2274
喀,2275
抄,2276
奈,2277
闖,2278
碑,2279
耶,2280
蓉,2281
刨,2282
喚,2283
壺,2284
柵,2285
猜,2286
蹲,2287
掏,2288
梳,2289
樸,2290
澳,2291
玲,2292
紐,2293
綿,2294
郡,2295
鋸,2296
膀,2297
錘,2298
鼠,2299
椅,2300
殷,2301
穴,2302
遮,2303
吵,2304
萍,2305
厭,2306
俱,2307
呂,2308
囊,2309
捧,2310
澄,2311
哎,2312
瞬,2313
閩,2314
雌,2315
饒,2316
哨,2317
滸,2318
俺,2319
茂,2320
蘗,2321
勳,2322
肝,2323
盯,2324
籽,2325
恥,2326
濫,2327
菊,2328
帥,2329
戒,2330
鞭,2331
詢,2332
鎂,2333
宅,2334
淀,2335
烤,2336
賈,2337
跌,2338
笛,2339
蠻,2340
鄂,2341
棍,2342
睜,2343
鷊,2344
云,2345
岌,2346
曆,2347
鼎,2348
侍,2349
嚷,2350
藩,2351
匪,2352
穎,2353
糟,2354
纏,2355
卑,2356
堪,2357
壇,2358
氛,2359
悅,2360
碘,2361
縛,2362
屠,2363
攀,2364
溢,2365
甫,2366
凹,2367
拱,2368
攜,2369
晰,2370
朽,2371
吟,2372
迪,2373
菱,2374
謙,2375
俊,2376
嬸,2377
盼,2378
艘,2379
芒,2380
唇,2381
挫,2382
浴,2383
羞,2384
趁,2385
岳,2386
愚,2387
疼,2388
腫,2389
萎,2390
樞,2391
絞,2392
餵,2393
嫁,2394
慕,2395
茲,2396
艙,2397
蘋,2398
豫,2399
諭,2400
蠶,2401
潘,2402
翁,2403
迭,2404
頃,2405
匠,2406
榜,2407
欠,2408
沾,2409
疇,2410
胃,2411
茬,2412
蹤,2413
哼,2414
弊,2415
桐,2416
歧,2417
沃,2418
潰,2419
鵬,2420
悼,2421
惑,2422
蔗,2423
晒,2424
潭,2425
孢,2426
診,2427
庸,2428
渦,2429
迴,2430
嫌,2431
聰,2432
哦,2433
廚,2434
梭,2435
祁,2436
肆,2437
贈,2438
鉗,2439
龐,2440
崖,2441
醜,2442
籃,2443
并,2444
