aaaa   日照時間
adhbti 閉目養神
adhbtt 閉月羞花
adhmow 閉一隻眼
adhomr 閉合電路
adhrmi 閉路電視
adhrnh 閉口不答
adhtti 閉幕典禮
admi   日本政府
admq   日本酸素
aeat   日治時期
aebnz  最多不過
aebos  最周全的
aebtz  最受歡迎
aegen  最高法院
aegep  最高水平
aegfh  最高榮譽
aegno  最高限價
aegoe  最高氣溫
aegor  最高人民
aegsy  最壞的是
aegui  最高學府
aegwn  最高國務
aegxc  最高紀錄
aehms  最重要的
aekdk  最有權力
aekms  最大型的
aekni  最大限度
aekoo  最有價值
aekoo  最有條件
aekqk  最大扭力
aekqr  最大挑戰
aelvm  最初幾天
aelvo  最初幾年
aemsy  最巧的是
aengt  最不喜歡
aeoei  最低溫度
aeoel  最低消費
aeonj  最佳陣容
aeooe  最低氣溫
aeooz  最佳人選
aeozq  最佳選擇
aerhs  最嚴重的
aermni 閣下可能
aermnv 閣下可以
aerrbo 闊別多年
aerztz 闊步前進
aetss  最著緊的
aevbh  最後勝利
aevjf  最後審判
aevk   日漸壯大
aevmi  最後一次
aevmo  最後一個
aevmz  最後一步
aevnm  最好不要
aevsy  最好的是
aevsy  最妙的是
aevye  最好辦法
aevzl  最後通牒
aexbd  最終目標
aexbs  最終目的
aexoh  最終傳動
aexzy  最終還是
aeyeh  最新消息
aeygz  最新報導
aeymt  最新一期
aeyps  最衷心的
aezvm  最近幾天
aezvo  最近幾年
afbr   日常用品
afby   日省月試
afgfp  顯赫家世
afgma  顯赫一時
afhal  顯微照片
afhqn  顯身揚名
afke   日光療法
afmaw  顯而易見
afmhx  顯示系統
afmkn  顯露頭角
afmo   日常工作
afiud  顯現出來
afmud  顯示出來
afmud  顯露出來
afqe   日常生活
aftdh  顯花植物
afuaoo 晃晃悠悠
afudag 晃來晃去
afuhgd 晃動起來
afukab 晃頭晃腦
agbg   日趨敗壞
agbjy  量體裁衣
agdcb  量才錄用
agkmh  量力而行
agkmi  量力而為
agnku  量子力學
agnuc  量子學說
agoiu  量入為出
agqy   日起生效
agrh   日趨嚴重
agthfs 闔第光臨
agubma 曉月殘星
aguhmb 曉風殘月
aguhyj 曉行夜宿
aguvkt 曉以大義
agyn   日趨衰弱
ahbw   日積月累
ahma   日復一日
ahmaww 星星點點
ahmazf 星星之火
ahmbcf 星月交輝
ahmcav 星爸星媽
ahmffm 星火燎原
ahmfww 星光點點
ahmhag 星島日報
ahmhyj 星移斗轉
ahmhyq 星移斗換
ahmmkr 星球大戰
ahmnkr 星際大戰
ahmnnh 星際飛行
ahmsgs 星馬地區
ahmt   日行一善
ahmtmi 星期一次
ahmtoa 星期假日
ahmwdk 星羅棋布
ahmwdo 星羅棋佈
ahmzyz 星運亨通
ahoj   日籍人士
ahsmay 昨天早上
ahsmay 昨天晚上
ahsmlo 昨天中午
ahsmmo 昨天下午
ahsmyl 昨天夜裡
ahsmyo 昨天上午
ahsyol 昨是今非
ahttob 昇華作用
ahwawh 眉開眼笑
ahwbeh 眉目清秀
ahwbop 眉目傳情
ahwbza 眉目之間
ahwdwg 眉來眼去
ahwebh 眉清目秀
ahwgwo 眉高眼低
ahwjza 眉宇之間
ahwnno 眉飛色舞
aicaan 曠時日久
aicaqn 曠日持久
aicjga 曠古未聞
aicjgk 曠古未有
aicjxo 曠古絕今
aicpkd 曠世奇才
aicpnw 曠世不羈
aicpzd 曠世之才
aicpzd 曠世逸才
aicyal 曠課日數
aicyal 曠課時數
aicyyc 曠課記錄
aiuaht 既得利益
aiubvz 既然如此
aiuhne 既往不咎
aiuhnj 既往不究
aiuijj 既成事實
aiujbd 既定目標
aiujmh 既定政策
aiukby 既老且衰
aiuwbk 既男朋友
aivt   日或以前
aiya   日或該日
ajago  早晚都會
ajagy  早晚都是
ajaih  早日康復
ajaozo 暑氣逼人
ajdsjm 昧於事理
ajdtip 昧著良心
ajgaw  早去早回
ajgma  早場電影
ajgmz  早走一步
ajhsy  早自習課
ajkqh  早有打算
ajkvz  早知如此
ajkyl  早有計劃
ajmav  早下早好
ajmav  早死早好
ajmmz  早下一步
ajoaa  早會時間
ajoaz  早借早還
ajqaa  早操時間
ajqah  早春時節
ajqln  早生貴子
ajrmz  早踏一步
ajuah  早出晚歸
ajvnqh 晏子春秋
ajwag  早睡早起
ajyaa  早餐時間
ajyam  早上早下
ajyj   日做夜做
ajyin  早衰現象
ajyoh  早熟作物
ajzao  早些時候
akgn   日有起色
akhw   日有所思
akilsn 閎中肆外
akujpx 閹割情結
alhjm  即物窮理
alieeg 閩江流域
aliey  即席演講
alihgs 閩粵地區
alihoj 閩籍人士
alihoj 閩粵人士
aliigs 閩台地區
alijgs 閩南地區
alilgs 閩北地區
alkaud 映照出來
alkowh 映入眼簾
altjm  即期支票
amfl   日正當中
amgigd 旺盛起來
amitmi 曇花一現
amjeov 旱澇保收
amjezv 旱潦之災
amjt   日臻完善
amnii  旦夕禍福
amnza  旦夕之間
amnzn  旦夕之危
amrytt 晤談甚歡
amtd   日理萬機
amvaeh 晨間活動
amvctg 晨鐘暮鼓
amvfhi 晨光乍現
amvhjf 晨昏定省
amvhjo 晨昏顛倒
amvxma 晨約二時
ananjh 間不容息
ananjs 間不容髮
ananjx 間不容緩
anaqdf 間接材料
anaqid 間接成本
anaqom 間接人工
anaqzh 間接選舉
anayeh 間諜活動
anbmwj 閒雲野鶴
anbonz 閒人免進
anbpzm 閒情逸致
anbpzx 閒情逸緻
anbtej 閒著沒事
anbwfc 閒話少說
anbwff 閒話家常
anbwnb 閒置不用
anbyay 閒言閒語
anbyoh 閒雜人等
anddr  門禁森嚴
andpzm 閑情逸致
anfhe  門當戶對
angwf  門堪羅雀
anhay  門戶開放
anhzw  門戶之見
anity  門庭若市
anlan  門裡門外
anlrs  門牌號碼
anms   日久天長
annwf  門可羅雀
anqmq  門捷列夫
anqp   日久生情
antav  門前門後
anuaee 晚景淒涼
anuaya 晚間新聞
anueat 晚清時期
anuhah 晚秋時節
anuhno 晚節不保
anuhss 晚風習習
anuiat 晚唐時期
anuoaa 晚飯時間
anuoat 晚年時期
anuohb 晚會節目
anuqah 晚春時節
anuyoh 晚熟作物
aoanf  閃閃發光
aodag  閃來閃去
aofnj  閃爍不定
aofty  閃爍其詞
aohg   日坐愁城
aohnn  閃躲不及
aomh   日入而息
aomo   日內瓦人
aomrh  閃電戰術
aorb   日俄戰爭
aowmm  閃了一下
aoznn  閃避不及
apanv  悶悶不樂
apeahi 曖昧行為
apfont 煦仁孑義
apgao  悶聲悶氣
apgnv  悶聲不響
aphgjh 易塔克島
aphgmy 易地而處
aphnmo 易子而食
aphntv 易發難收
aphuab 易學易用
aphvhf 易如反掌
aphxuo 易經學會
aphytz 易請難送
apkpl  悶在心裡
appluf 昆蟲學家
aqafl  時間常數
aqao   日據時代
aqat   日據時期
aqath  時間藝術
aqaxm  時間繼電
aqayy  時時刻刻
aqbabm 晴時多雲
aqbjbm 晴轉多雲
aqbjtw 晴空萬里
aqbmmm 晴天霹靂
aqdgg  時機未到
aqdiy  時機成熟
aqdng  時機不再
aqdsg  時機已到
aqdzj  時來運轉
aqeai  時浮時現
aqfnz  時光隧道
aqfnz  時光飛逝
aqfoe  時光倒流
aqgbm  時報周刊
aqgob  時勢使然
aqgyy  時報雜誌
aqgzm  時報週刊
aqhpa  時移世易
aqixo  時態變化
aqjfc  時十五分
aqjyh  時空旅行
aqjyy  時事評論
aqkha  時有所聞
aqmjc  時三十分
aqmoa  時至今日
aqnai  時隱時現
aqnbo  時隔多年
aqnih  時不我與
aqnin  時不我予
aqnnh  時不可失
aqobm  時代周刊
aqofi  時代精神
aqogg  時候未到
aqooh  時代氣息
aqoyy  時代雜誌
aqozm  時代週刊
aqsbx  時局多變
aqvag  時好時壞
aqvax  時斷時續
aqvqe  時裝表演
aqzgz  時過境遷
aqzne  時運不濟
aqzyz  時運亨通
arafi  問題家庭
arafo  問題少年
arahh  問題重重
arahy  問題兒童
araks  問題在於
aramo  問題一個
arank  問題不大
araoh  問題人物
arauq  問題學生
ardag  問來問去
ardam  問東問西
arfany 照關不誤
arfayo 照明設備
arfbny 照用不誤
arfcny 照說不誤
arfdag 照來照去
arfdhl 照相製版
arfdjh 照本宣科
arfdjl 照相乾片
arfdny 照查不誤
arfdrd 照相器材
arfffc 照常營業
arffny 照炒不誤
arffym 照常上班
arffyy 照常上課
arffzh 照常進行
arfhbn 照顧服務
arfhny 照算不誤
arfhny 照簽不誤
arfjny 照寫不誤
arfmny 照玩不誤
arfobo 照價賠償
arfovb 照價收購
arfovw 照價收買
arfqmi 照抄一次
arfqmz 照抄一遍
arfqny 照抄不誤
arfqny 照插不誤
arfqny 照生不誤
arfqny 照看不誤
arfrov 照單全收
arfskg 照臨大地
arfyd  問卷調查
arfyhj 照章行事
arfyny 照請不誤
arfyny 照辦不誤
arfyym 照章辦理
arfzfq 照此類推
arfzmc 照道理說
arfzmy 照道理講
arfzzh 照此進行
arkek  問有沒有
arlhh  問非所答
armsr  問政於民
aroaa  問個問題
arpkp  問心有愧
arpop  問心無愧
arsaa  問的問題
arsao  問長問短
arszo  問長道短
aryam  問上問下
arzsy  問道於盲
asao   日耳曼人
asbgo  聞雞起舞
asdag  聞來聞去
asfdag 闖來闖去
asfmki 闖下大禍
asfzau 闖進闖出
ashga  聞所未聞
ashjb  聞風喪膽
ashmd  聞風而來
ashmg  聞風而起
ashmh  聞風而動
ashmm  聞風而至
ashmz  聞風而逃
ashvi  聞風響應
ashzj  聞風逃竄
asjop  聞者傷心
asmkj  聞一知十
asnln  聞名中外
asnmm  聞名天下
asnom  聞名全球
asnpw  聞名世界
asnsp  聞名於世
asnwy  聞名四方
asrbtq 昭然若揭
asrhoa 昭和年間
asrmln 昭示中外
asromm 昭信天下
aszbg  聞過則喜
aszbs  聞過則改
ataa   日益明顯
ataaa  開開關關
atabh  開門受徒
atac   日落時分
ataoj  開明人士
atapp  開開心心
ataqe  開門揖盜
ataud  開闢出來
atawu  開門見山
atayu  開門辦學
atdag  開來開去
atdss  開棺驗屍
ateear 暴漲暴跌
atef   日益減少
atehe  開源節流
atehfh 暴風半徑
atehiw 暴戾恣睢
atehsm 暴風驟雨
atehzo 暴戾之氣
atekto 暴力革命
atemmh 暴殄天物
atemoz 暴露無遺
atenud 暴發出來
ateoao 暴食暴飲
ateoao 暴飲暴食
atero  開演唱會
atervm 暴跳如雷
atevzm 暴怒之下
ateyie 暴虎憑河
ateyie 暴虎馮河
ateyoz 暴虐無道
atfkt  開卷有益
atggo  開高走低
atgs   日益增長
atgsd  開起砲來
athm   日益重要
atjat  開宗明義
atjkh  開宗大師
atma   日甚一日
atmag  開天闢地
atmat  開工日期
atmkg  開工大吉
atmsv  開列於後
atmti  開工典禮
atmu   日薄西山
atmwa  開雲見日
atnag  開疆闢土
atnap  開不開心
atncs  開發公司
atnhb  開發利用
atnje  開發資源
atnkg  開張大吉
atnlp  開發中心
atnlw  開發中國
atntc  開發基金
atoaa  開會時間
atogg  開低走高
atogw  開會地點
atpgd  開心起來
atpkh  開懷大笑
atpkr  開懷大嚼
atplo  開懷暢飲
atpwy  開心見誠
atqfi  開拓精神
atqkg  開春大吉
atrar  開口閉口
atrqc  開路先鋒
atrsk  開足馬力
atsmo  開展工作
atsqh  開刀手術
atsy   日益加劇
attti  開幕典禮
attxw  開花結果
atuih  開山祖師
atuti  開學典禮
atvk   日益壯大
atvob  開始使用
atwjy  開羅宣言
atwmh  開國元勳
atwmk  開國元老
atwoy  開羅會議
atwxo  開國紀念
atyaa  開放時間
atyaa  開課時間
atyat  開課日期
atydw  開誠相見
atygs  開放地區
atykc  開誠布公
atykh  開顏大笑
atymh  開放政策
atymr  開放電路
atyoc  開誠佈公
atyti  開訓典禮
atyyg  開放市場
atzj   日暮途窮
atzo   日益頻繁
auat   日出日落
auhcg  巴黎盆地
auhci  巴黎公社
auhho  巴黎和會
auhku  巴黎大學
aujeu  巴士海峽
aujnx  巴塞隆納
aujws  巴塞羅那
aumhm  巴西利亞
aumjf  巴爾幹半
aumju  巴爾幹山
aumo   日出而作
aumro  巴爾喀什
aumsi  巴爾的摩
aunut  巴陵山莊
aunxx  巴解組織
auohm  巴伐利亞
auosg  巴拿馬地
aupoc  巴比合金
auqge  巴拉圭河
auqpe  巴拉頓湖
auttg  巴勒斯坦
auttg  巴基斯坦
auyrr  巴顏喀喇
avakg  關門大吉
avcaa  關鍵問題
avcay  關鍵時刻
avcks  關鍵在於
avdag  關來關去
avdgs  關東地區
avgad  關起門來
avhba  關稅同盟
avhxj  關貿總協
avlbhy 昂然聳立
avlbqy 昂然挺立
avlgs  關中地區
avltaz 昂首闊步
avltqb 昂首挺胸
avmgs  關西地區
avooc  關係企業
avotiw 歇斯底里
avpiu  關心我們
avpom  關懷備至
avsiu  關於我們
avsmo  關於一個
avsnh  關於陰毛
avutw  關山萬里
avxy   日以繼夜
awafhi 曙光乍現
awahh  冒冒失失
awerph 曼哈頓島
awkzy  冒犯之處
awlsaa 閘刀開關
awnkt  冒險犯難
awnmq  冒名頂替
awnyt  冒險主義
awtnn  冒著危險
awvj   日見好轉
ayaaee 暗暗淡淡
ayabhn 暗然失色
ayaeee 暗潮洶湧
ayaeno 暗渡陳倉
ayaeof 暗淡無光
ayahee 暗自流淚
ayahgw 暗射地圖
ayahio 暗自神傷
ayahmg 暗笑一聲
ayahoo 暗箭傷人
ayahtn 暗箭難防
ayalhj 暗中行事
ayalop 暗中作怪
ayalqj 暗中摸索
ayaoma 暗無天日
ayaqbc 暗操賤業
ayarmg 暗叫一聲
ayathb 暗藏鬼胎
ayatqn 暗藏春色
ayatyd 暗藏玄機
ayawmd 暗了下來
ayaxx  影影綽綽
ayaykp 暗記在心
ayazgw 暗通款曲
ayazhe 暗送秋波
aybv   日就月將
aybw   日新月異
ayfhot 景物依舊
ayfnao 景不景氣
ayfnjo 景色宜人
aygxa  影壇紅星
aymh   日上三竿
aync   日夜不分
ayno   日夜不停
ayny   日新又新
ayojq  影像轉換
ayvhk  影響很大
ayyrd  影音器材
ayzko  影迷大會
azdna  得來不易
azdzs  得寸進尺
azgck  得未曾有
azgvy  得到好處
azgwg  得到回報
azhif  得失參半
azkbq  得力助手
azmhh  得而復失
azmkm  得天獨厚
azmno  得理不饒
aznoh  得不償失
aznyh  得魚忘筌
aznyw  得隴望蜀
azooy  得饒人處
azpiq  得心應手
azthj  得其所哉
azyaq  得意門生
azyc   日進斗金
azyee  得意洋洋
azyqq  得意揚揚
azyym  得意忘形
azzam  得道昇天
azzbb  得道多助
azzbz  得過且過
azzma  得逞一時
baah   月明星稀
bacbzl 冥冥之中
bacmnm 冥頑不靈
bacwtd 冥思苦想
baeyt  把酒言歡
bamhhm 腥風血雨
bamwhk 腥黑穗病
baqdz  把握機遇
baukbb 肥頭肥腦
bbbhms 骨質酥鬆
bbbhsq 骨科醫生
bbbjcn 骨幹分子
bbbjka 骨幹力量
bbbjoc 骨幹企業
bbbkkn 骨頭架子
bbbkvd 骨瘦如材
bbbkvz 骨瘦如柴
bbblyi 骨牌效應
bbbnkr 骨鯁在喉
bbbnlk 骨子裡頭
bbbocy 骨肉分離
bbbodm 骨肉相殘
bbbodz 骨肉相連
bbbomy 骨肉至親
bbbows 骨肉團聚
bbboww 骨肉團圓
bbbozp 骨肉之情
bbctb  朋分花用
beavs 受影響的
bebnl 受用不盡
beboj 受用無窮
begav 受到影響
begmj 受到攻擊
begnh 受到限制
behso 受制於人
bejoj 受惠無窮
bejtt 受寵若驚
bekch 受力鋼筋
belmz 受盡壓迫
belqi 受盡折磨
benom 受降儀式
benti 受降典禮
beott 受人尊敬
beozy 受人之託
besyf 受騙上當
betbt 受苦受難
betiy 受益憑證
betne 受益不淺
betse 受益匪淺
betzs 受歡迎的
bevgs 受災地區
beync 受託承銷
bezkp 受之有愧
bezop 受之無愧
bbfhtw 鵬程萬里
bbfiv  朋黨為奸
bbjnzy 辭不達意
bbjtzy 辭舊迎新
bbkao  朋友關係
bbkgr  朋友都唔
bbkkz  朋友有通
bbpiv  朋比為奸
bbsji  朋馳車廠
bbucmz 亂說一通
bbudbg 亂來亂去
bbuhgg 亂丟垃圾
bbuhxs 亂丟紙屑
bbuimw 亂成一團
bbujcf 亂七八糟
bbuogg 亂倒垃圾
bbuomw 亂作一團
bbuphv 亂世兒女
bbupoo 亂世佳人
bburbr 亂吼亂叫
bburbr 亂喊亂叫
bburbr 亂跑亂跳
bburbr 亂蹦亂跳
bbusbn 亂臣賊子
bbuwnl 亂點鴛鴦
bbuwqb 亂了手腳
bcjts  貝克勒耳
bckhmh 敗興而歸
bckjko 敗事有餘
bckjij 敗者為寇
bckmnd 敗下陣來
bcknmd 敗陣下來
bckvtl 敗絮其中
bcmdt  貝爾格萊
bcsme  貝加爾湖
bcubqb 脫胎換骨
bcubvf 脫脂奶粉
bcudbg 脫來脫去
bcuhmu 脫身而出
bcujmu 脫軌而出
bculmt 脫帽致敬
bcuodf 脫氧核糖
bcupmu 脫穎而出
bcuriy 脫口成章
bcurmu 脫口而出
bcutmd 脫落下來
bcutws 脫韁野馬
bcutzs 脫韁之馬
bcuuhw 脫出重圍
bcuyao 脫離關係
bcuyng 脫離險境
bcuyov 脫衣舞孃
bdheee 財源滾滾
bdhkfz 豺狼當道
bdhkhk 財力物力
bdhkkm 財力雄厚
bdhkof 財大氣粗
bdhmcm 財政金融
bdhmgj 財政赤字
bdhmhm 財政管理
bdhmjc 財政資金
bdhmjd 財政資本
bdhmis 財政廳長
bdhmjk 財政寡頭
bdhmju 財政支出
bdhmmh 財政政策
bdhmnd 財政危機
bdhmnh 財政預算
bdhmnq 財政承擔
bdhmnq 財政負擔
bdhmoi 財政年度
bdhmvo 財政收入
bdhmwt 財政困難
bdhmba 財政部門
bdhmbs 財政部長
bdhngq 財務報表
bdhnhm 財務管理
bdhnlb 財務費用
bdhnne 財務預測
bdhnoy 財務會計
bdhnsy 財務監督
bdhnxd 財務結構
bdhweo 財團法人
bdhxif 財經專家
bdhxts 財經首長
bdhxxh 財經紀律
bdhxba 財經部門
bdhyao 財產關係
bdhybc 財產目錄
bdhyed 財產清查
bdhzpj 財迷心竅
bdhzyz 財運亨通
bdueso 乳液聚合
bduhgj 乳臭未乾
bduhyv 乳房是女
oiahe  愛得很深
oibvo  愛財如命
beby   月滿則虧
oicvo  愛錢如命
oidbg  愛權愛勢
oidfi  愛校精神
oidte  愛才若渴
oidvf  愛校如家
oiekl  愛滋病患
oiekq  愛滋病毒
oiesm  愛沙尼亞
oigey  愛到深處
oihaj  愛管閒事
oihie  愛秩序灣
oihnm  愛答不理
oihpp  愛兒心切
oihpp  愛師心切
oihpp  愛徒心切
oiivf  愛廠如家
oijpp  愛妻心切
oijtf  愛克斯光
oikpl  愛在心裡
oimca  愛惡分明
oimnm  愛理不理
oimto  愛爾蘭人
oimty  愛爾蘭語
oinhq  愛不釋手
oinpp  愛子心切
ointi  愛阿華州
oiope  愛侶情深
oiovs  愛人如己
oipbf  愛心彩券
oipca  愛恨分明
oipca  愛憎分明
oipcx  愛恨交織
oipim  愛情專一
oipjj  愛情故事
oirdh  愛民模範
oirvn  愛民如子
oisnh  愛屋及烏
oitib  愛莫能助
oitti  愛斯基摩
oitti  愛荷華州
oivfi  愛鄉精神
oivpp  愛女心切
oivvf  愛鄉如家
oiwbv  愛國愛鄉
oiwdr  愛國東路
oiwfi  愛國精神
oiwgp  愛國熱情
oiwmr  愛國西路
oiwob  愛國僑胞
oiwoj  愛國人士
oiwtg  愛因斯坦
oiwvf  愛國獎券
oiwyt  愛國主義
oiwzh  愛國運動
oiych  愛護公物
oiyhh  愛護動物
oiymo  愛上一個
oiyuw  愛新覺羅
oizti  愛達荷州
bfcohj 賸餘物資
bfcooo 賸餘價值
bffdwu 騰格里山
bffjmg 騰空而起
bffjmz 騰空而過
bffmkm 騰雲駕霧
bfqng  炙手可熱
bfsfkq 勝券在握
bfshhd 勝利歸來
bfshky 勝利在望
bfshwj 勝利果實
bfsopp 勝任愉快
bfsbbb 勝部冠軍
bfsznm 勝之不武
bfysg  然新加坡
bghbgd 膨脹起來
bghbhl 膨脹系數
bgrjnm 周轉不靈
bgrmhv 周而復始
bgrmlv 周而複始
bgroyi 周年誌慶
bgrtnl 周期函數
bgrwmg 周圍環境
bgrygi 周旋到底
bgrzmw 周遊列國
bhedko 股東大會
bhedoy 股東會議
bhegor 販賣人口
bhemhr 股票戶口
bhemxx 股票經紀
bhemyg 股票市場
bheocs 股份公司
bheojy 股份轉讓
bheokn 股份有限
bheoql 股價指數
bheqgy 販夫走卒
bheqow 販毒集團
bheyhp 股市行情
bhhe   月白風清
bhlon  彩虹仙子
bhnal  彩色照片
bhnbf  彩色膠卷
bhnma  彩色電影
bhnmi  彩色電視
bhnmm  彩色玻璃
bhnonz 肌肉發達
bhnoxx 肌肉組織
bhnxx  彩色繽紛
bhnygp 冗詞贅句
bhnyo  彩陶文化
bhnyzy 肌膚之親
bhunto 貌不驚人
bhuoiy 貌合神離
bhutvt 貌美如花
bhvbop 脈脈含情
bhvemz 脈沖雷達
bhvhme 脈動電流
bhvhmz 脈衝雷達
bhvxnh 脈絡可循
biagw  多日未見
bianw  多日不見
biass  多明尼加
bibbi  多彩多姿
bibbi  多采多姿
bibff  多多少少
bibpe  多多包涵
bibqj  多多指教
bibtm  多財善賈
bibtt  多多益善
bickmg 膩在一起
biczj  多金之士
bidbt  多才多藝
bifba  多勞多得
bifoo  多黨合作
bifss  多米尼加
bihaj  多管閒事
bihbt  多種多樣
bihmm  多種形式
bihnt  多行不義
bihod  多重人格
bihti  多愁善感
bihxf  多種經營
bihym  多管齊下
bihzq  多種選擇
bihzq  多重選擇
biige  多次高潮
biijf  多摩教堂
biiodq 賤肉橫生
biiouo 賤價出售
biiwbg 賤買賤賣
bijahw 賊眉鼠眼
bijkbb 賊頭賊腦
bijnq  多寡不拘
bijzh  多事之秋
bikme  多頭政治
bikyg  多頭市場
bilwo  多數男人
bimkm  多雲有雨
bimom  多雲偶雨
bimou  多元入學
bimzz  多票通過
binbl  多不勝數
binbn  多子多孫
bintf  多孔塑料
biogw  多年未見
bionw  多年不見
biost  多氯聯苯
biphn  多情種子
biqbs  多看多聽
birbh  多嘴多舌
birhky 貽笑大方
birlxh 貽患終身
birmbl 胎死腹中
birorj 貽人口實
birowd 貽人話柄
birqhh 胎生動物
biryid 貽誤戎機
biryw  多民族國
biryxh 貽誤終身
bisey  多加注意
bisnp  多加小心
bithq  多難興邦
bivbt  多災多難
bivhh  多如牛毛
biwsb  多國聯軍
biwbn  多國部隊
biyms  多方面的
biynq  多方阻擾
biyof  多產作家
biyph  多言必失
biytv  多謀善斷
bizfl  多退少補
bizmh  多此一舉
bizox  多邊條約
bjajq  軍閥割據
bjaoh  軍閥作風
bjapsn 賭性堅強
bjayt  軍閥主義
bjbbzy 肺腑之言
bjbdg  軍用機場
bjbhj  軍用物資
bjbmw  軍用電話
bjdks  軍機大臣
bjebhj 肢體衝突
bjejf  軍法審判
bjfbn  軍火販子
bjio   月宮魔盒
bjjba  軍事同盟
bjjei  軍事法庭
bjjes  軍事演習
bjjgm  軍事地理
bjjha  軍事衛星
bjjha  軍事顧問
bjjhh  軍事行動
bjjhr  軍事委員
bjjka  軍事力量
bjjmc  軍事工業
bjjnd  軍事院校
bjjo   月宮寶盒
bjjqh  軍事手段
bjjtg  軍事基地
bjjud  軍事學校
bjjud  軍官學校
bjjun  軍事學院
bjjvo  軍事裝備
bjjwd  軍事思想
bjjyx  軍事訓練
bjma   月十三日
bjmat  軍政時期
bjmbhh 腔腸動物
bjmfs  軍政當局
bjmku  軍政大學
bjmlx  軍需補給
bjmoc  軍工企業
bjmor  軍政人員
bjnhgd 貯積起來
bjnzy  軍隊建設
bjovu  軍令如山
bjoyj  軍備競賽
bjpet  軍心渙散
bjrmf  軍民一家
bjroo  軍民合作
bjrsn  軍民聯防
bjsku  軍醫大學
bjsor  軍職人員
bjurhh 腕足動物
bjwkj  軍國大事
bjwyt  軍國主義
bjyjj  軍訓教官
bkgbky 雞腿大餐
bkgbwy 雞同鴨講
bkgdjs 雞皮鶴髮
bkgdkk 雞皮疙瘩
bkghqn 雞毛撢子
bkghtd 雞毛蒜皮
bkgida 雞犬相聞
bkgihm 雞犬升天
bkginh 雞犬不留
bkginj 雞犬不寧
bkgmks 雞零狗碎
bkgnaa 雞兔問題
bkgnbh 雞兔同籠
bkgnkg 雞飛狗走
bkgnkr 雞飛狗跳
bkgovo 雞仔媒人
bkgrke 雞鳴狗盜
bkgrns 雞鳴不已
bkgseo 雞尾酒會
bkgwno 雞鴨魚肉
bksmzm 胯下之辱
blcqc  腳鐐手銬
blidh  腳底板兒
bliqe  腳底抹油
blksb  腳痛醫腳
blrjg  腳踏實地
blykmp 腓力二世
blysto 腓尼基人
bmcbaa 具體問題
bmcbfh 具體勞動
bmcbgc 具體地說
bmcbje 具體做法
bmcbjq 具體安排
bmcbmh 具體而微
bmcbmi 具體要求
bmcboo 具體條件
bmcbqy 具體措施
bmcbyw 具體意見
bmfikt 祭祖大典
bmfikt 祭神大典
bmfmkt 祭天大典
bmfnkt 祭孔大典
bmftom 祭奠儀式
bmjbao 肝膽照人
bmjbda 肝膽相照
bmjbdv 肝腸寸斷
bmjbeg 肝腦塗地
bmjbom 肝膽俱裂
bmjbzo 肝膽過人
bmko   月下老人
bmmbo  且歌且舞
bmqafh 冠冕堂皇
bmqtmo 冠蓋雲集
bmqvhb 冠狀動脈
bmqxst 冠絕群芳
bmrbg  且戰且走
bmtt   月下花前
bmvmlk 腰酸背疼
bmvmlk 腰酸背痛
bmvwom 腰果肉丁
