Chinese_Street_Name	English_Street_Name	District_Code
士達福信路	STAFFORDSHIRE AVENUE	YL
大口環道	SANDY BAY ROAD	S
大元村第一巷	TAI YUEN TSUEN LANE NO.1	N
大元村第七巷	TAI YUEN TSUEN LANE NO.7	N
大元村第九巷	TAI YUEN TSUEN LANE NO. 9	N
大元村第二巷	TAI YUEN TSUEN LANE NO.2	N
大元村第八巷	TAI YUEN TSUEN LANE NO.8	N
大元村第三巷	TAI YUEN TSUEN LANE NO.3	N
大元村第五巷	TAI YUEN TSUEN LANE NO.5	N
大元村第六巷	TAI YUEN TSUEN LANE NO.6	N
大元村第四巷	TAI YUEN TSUEN LANE NO.4	N
大方街	TAI FONG STREET	TM
大水坑北街	TAI SHUI HANG NORTH STREET	ST
大水坑南街	TAI SHUI HANG SOUTH STREET	ST
大王西街	TAI WONG STREET WEST	WC
大王東街	TAI WONG STREET EAST	WC
大白田村路	TAI PAK TIN TSUEN ROAD	TW
大白田里	TAI PAK TIN LANE	K&amp;T
大白田徑	TAI PAK TIN PATH	K&amp;T
大白田街	TAI PAK TIN STREET	K&amp;T
大石口路	TAI SHEK HAU ROAD	Is
大石街	TAI SHEK STREET	E
大光里	TAI KWONG LANE	TP
大全街	TAI TSUN STREET	YTM
大同街	TAI TUNG STREET	WTS
大安臺	TAI ON TERRACE	C&amp;W
大成街	TAI SHING STREET	WTS
大有街	TAI YAU STREET	WTS
大老山公路	TATE'S CAIRN HIGHWAY	ST
大老山隧道	TATE'S CAIRN TUNNEL	ST-WTS
大坑口路	TAI HANG HAU ROAD	SK
大坑西街	TAI HANG SAI STREET	SSP
大坑東道	TAI HANG TUNG ROAD	SSP
大坑徑	TAI HANG DRIVE	WC
大坑道	TAI HANG ROAD	WC
大宏街	DAI WANG STREET	TP
大角咀道	TAI KOK TSUI ROAD	YTM
大陂坊	TAI PEI SQUARE	TW
大陂頭徑	TAI PEI TAU PATH	YL
大利街	DAI LI STREET	TP
大坳門路	TAI AU MUN ROAD	SK
大昌街	DAI CHEONG STREET	TP
大明里	TAI MING LANE	TP
大河道	TAI HO ROAD	TW
大河道北	TAI HO ROAD NORTH	TW
大沽街	TAKU STREET	KC
大南西街	TAI NAN WEST STREET	SSP
大南街	TAI NAN STREET	YTM-SSP
大屋街	TAI UK STREET	TW
大巷	TAI LANE	Is
大政街	TAI CHING STREET	YTM
大美督路	TAI MEI TUK ROAD	TP
大埔公路 － 大埔滘段	TAI PO ROAD - TAI PO KAU	TP
大埔公路 － 大圍段	TAI PO ROAD - TAI WAI	ST
大埔公路 － 大窩段	TAI PO ROAD - TAI WO	TP
大埔公路 － 元洲仔段	TAI PO ROAD - YUEN CHAU TSAI	TP
大埔公路 － 沙田段	TAI PO ROAD - SHA TIN	ST
大埔公路 － 沙田嶺段	TAI PO ROAD - SHA TIN HEIGHTS	ST
大埔公路 － 馬料水段	TAI PO ROAD - MA LIU SHUI	ST-TP
大埔公路 － 琵琶山段	TAI PO ROAD - PIPER'S HILL	ST-SSP
大埔太和路	TAI PO TAI WO ROAD	TP
大埔水窩路	TAI PO SHUI WO ROAD	TP
大埔道	TAI PO ROAD	SSP
大埔頭水圍路	TAI PO TAU SHUI WAI ROAD	TP
大埔頭徑	TAI PO TAU DRIVE	TP
大埔頭路	TAI PO TAU ROAD	TP
大埔龍尾路	TAI PO LUNG MEI ROAD	TP
大涌口路	TAI CHUNG HAU ROAD	SK
大涌道	TAI CHUNG ROAD	TW
大涌橋路	TAI CHUNG KIU ROAD	ST
大華街	DAI WAH STREET	TP
大浪灣道	BIG WAVE BAY ROAD	S
大連排道	TAI LIN PAI ROAD	K&amp;T
大強街	POWER STREET	E
大球場徑	STADIUM PATH	WC
大盛街	DAI SHING STREET	TP
大菜園路	TAI TSOI YUEN ROAD	Is
大菴路	TAI OM ROAD	TP
大陽輋路	TAI YEUNG CHE ROAD	TP
大喜街	DAI HEI STREET	TP
大圍西巷	WEST LANE TAI WAI	ST
大圍第一街	FIRST STREET TAI WAI	ST
大圍第七街	SEVENTH STREET TAI WAI	ST
大圍第九街	NINTH STREET TAI WAI	ST
大圍第二街	SECOND STREET TAI WAI	ST
大圍第八街	EIGHTH STREET TAI WAI	ST
大圍第十街	TENTH STREET TAI WAI	ST
大圍第三街	THIRD STREET TAI WAI	ST
大圍第五街	FIFTH STREET TAI WAI	ST
大圍第六街	SIXTH STREET TAI WAI	ST
大圍第四街	FOURTH STREET TAI WAI	ST
大圍道	TAI WAI ROAD	ST
大圍新村路	TAI WAI NEW VILLAGE ROAD	ST
大富街	DAI FU STREET	TP
大帽山道	TAI MO SHAN ROAD	TW-YL
大景街	DAI KING STREET	TP
大棠山道	TAI TONG SHAN ROAD	YL-TM
大棠路	TAI TONG ROAD	YL
大發街	DAI FAT STREET	TP
大貴街	DAI KWAI STREET	TP
大道村路	TAI TO TSUEN ROAD	YL
大順街	DAI SHUN STREET	TP
大圓街	TAI YUEN STREET	K&amp;T
大廈街	TAI HA STREET	K&amp;T
大新後街	TAI SAN BACK STREET	Is
大新海傍路	TAI SAN PRAYA ROAD	Is
大新街	TAI SAN STREET	Is
大業里	TAI YIP LANE	KT
大業街	TAI YIP STREET	KT
大窩口道	TAI WO HAU ROAD	K&amp;T
大窩交匯處	TAI WO INTERCHANGE	K&amp;T
大窩西支路	TAI WO SERVICE ROAD WEST	N-TP
大窩坪道	TAI WOH PING ROAD	SSP
大窩東支路	TAI WO SERVICE ROAD EAST	N-TP
大蒸場路	TAI CHING CHEUNG ROAD	K&amp;T
大福街	DAI FUK STREET	TP
大旗嶺路	TAI KEI LENG ROAD	YL
大榮里	TAI WING LANE	TP
大網仔路	TAI MONG TSAI ROAD	SK
大德街	TAI TAK STREET	E
大潭水塘道	TAI TAM RESERVOIR ROAD	S-E
大潭道	TAI TAM ROAD	E-S
大澳太平街	TAI O TAI PING STREET	Is
大澳永安街	TAI O WING ON STREET	Is
大澳街市街	TAI O MARKET STREET	Is
大澳道	TAI O ROAD	Is
大學道	UNIVERSITY AVENUE	ST
大學道	UNIVERSITY DRIVE	C&amp;W
大學道	UNIVERSITY ROAD	SK
大樹下西路	TAI SHU HA ROAD WEST	YL
大樹下東路	TAI SHU HA ROAD EAST	YL
大橋路	TAI KIU ROAD	YL
大磡道	TAI HOM ROAD	WTS
大興堤路	TAI HING TAI ROAD	Is
大興街	TAI HING STREET	TM
大頭嶺第一巷	TAI TAU LENG 1ST LANE	N
大頭嶺第七巷	TAI TAU LENG 7TH LANE	N
大頭嶺第二巷	TAI TAU LENG 2ND LANE	N
大頭嶺第八巷	TAI TAU LENG 8TH LANE	N
大頭嶺第三巷	TAI TAU LENG 3RD LANE	N
大頭嶺第五巷	TAI TAU LENG 5TH LANE	N
大頭嶺第六巷	TAI TAU LENG 6TH LANE	N
大頭嶺第四巷	TAI TAU LENG 4TH LANE	N
大環道	TAI WAN ROAD	KC
大環道東	TAI WAN ROAD EAST	KC
大環頭路	TAI WAN TAU ROAD	SK
大鴻街	DAI HUNG STREET	TP
大藍湖路	TAI LAM WU ROAD	SK
大隴街	TAI LOONG STREET	K&amp;T
大鵬街	DAI PANG STREET	TP
大壩街	TAI PA STREET	TW
大欖涌道	TAI LAM CHUNG ROAD	TM
小西灣道	SIU SAI WAN ROAD	E
小坑口路	SIU HANG HAU ROAD	SK
小冷水路	SIU LANG SHUI ROAD	TM
小食里	SIU SIK LANE	Is
小商新村一街	SMALL TRADERS NEW VILLAGE STREET 1	YL
小商新村七街	SMALL TRADERS NEW VILLAGE STREET 7	YL
小商新村二街	SMALL TRADERS NEW VILLAGE STREET 2	YL
小商新村八街	SMALL TRADERS NEW VILLAGE STREET 8	YL
小商新村三街	SMALL TRADERS NEW VILLAGE STREET 3	YL
小商新村五街	SMALL TRADERS NEW VILLAGE STREET 5	YL
小商新村六街	SMALL TRADERS NEW VILLAGE STREET 6	YL
小商新村四街	SMALL TRADERS NEW VILLAGE STREET 4	YL
小商路	SIU SHEUNG ROAD	YL
小瀝源第一巷	SIU LEK YUEN FIRST LANE	ST
小瀝源第二巷	SIU LEK YUEN SECOND LANE	ST
小瀝源第三巷	SIU LEK YUEN THIRD LANE	ST
小瀝源第五巷	SIU LEK YUEN FIFTH LANE	ST
小瀝源第六巷	SIU LEK YUEN SIXTH LANE	ST
小瀝源第四巷	SIU LEK YUEN FOURTH LANE	ST
小瀝源路	SIU LEK YUEN ROAD	ST
小欖村路	SIU LAM TSUEN ROAD	TM
小欖路	SIU LAM ROAD	TM
山下路	SHAN HA ROAD	YL
山市街	SANDS STREET	C&amp;W
山光道	SHAN KWONG ROAD	WC
山西街	SHANSI STREET	KC
山尾街	SHAN MEI STREET	ST
山村徑	VILLAGE PATH	ST
山村道	VILLAGE ROAD	WC
山村臺	VILLAGE TERRACE	WC
山谷道	VALLEY ROAD	KC
山貝河東路	SHAN PUI HO EAST ROAD	YL
山貝路	SHAN PUI ROAD	YL
山咀村路	SHAN TSUI VILLAGE ROAD	N
山坡臺	HILL SIDE TERRACE	WC
山明街	SHAN MING STREET	S
山東街	SHANTUNG STREET	YTM
山林道	HILLWOOD ROAD	YTM
山南路	SHAN NAM ROAD	TP
山頂道	PEAK ROAD	C&amp;W-WC
山道	HILL ROAD	C&amp;W
山塘路	SHAN TONG ROAD	TP
山賢路	SHAN YIN ROAD	TP
山寮下路	SHAN LIU LOWER ROAD	SK
山寮路	SHAN LIU ROAD	TP
山邊路	HILL SIDE ROAD	Is
山邊臺	SHAN PIN TERRACE	E
川龍街	CHUEN LUNG STREET	TW
工場路	WORKSHOP ROAD	TM
工業街	KUNG YIP STREET	K&amp;T
工廠街	FACTORY STREET	E
己連拿利	GLENEALY	C&amp;W
干德道	CONDUIT ROAD	C&amp;W
干諾道中	CONNAUGHT ROAD CENTRAL	C&amp;W
干諾道西	CONNAUGHT ROAD WEST	C&amp;W
弓絃巷	CIRCULAR PATHWAY	C&amp;W
中心村第一巷	CHUNG SUM TSUEN LANE NO.1	N
中心村第七巷	CHUNG SUM TSUEN LANE NO.7	N
中心村第二巷	CHUNG SUM TSUEN LANE NO.2	N
中心村第八巷	CHUNG SUM TSUEN LANE NO.8	N
中心村第三巷	CHUNG SUM TSUEN LANE NO.3	N
中心村第五巷	CHUNG SUM TSUEN LANE NO.5	N
中心村第六巷	CHUNG SUM TSUEN LANE NO.6	N
中心村第四巷	CHUNG SUM TSUEN LANE NO.4	N
中心里	CHUNG SUM LANE	Is
中央道	CENTRAL AVENUE	ST
中和里	CHUNG WO LANE	C&amp;W
中英街	CHUNG YING STREET	N
中峽道	MIDDLE GAP ROAD	WC
中景道	CHUNG KING ROAD	C&amp;W
中港道	CHUNG KONG ROAD	C&amp;W
中翔路	CHUNG CHEUNG ROAD	Is
中間道	CENTRAL ROAD	TM
中間道	MIDDLE ROAD	YTM
中匯街	CHUNG WUI STREET	YTM
中路	CENTRAL ROAD	YL
中學路	CHUNG HOK ROAD	Is
中興後街	CHUNG HING BACK STREET	Is
中興海傍街	CHUNG HING PRAYA STREET	Is
中興街	CHUNG HING STREET	Is
中興新街	CHUNG HING SAN STREET	Is
中環及灣仔繞道隧道	CENTRAL-WANCHAI BYPASS TUNNEL	C&amp;W-WC-E
五芳街	NG FONG STREET	WTS
五和路	NG WO ROAD	YL
五洲南路	NG CHOW SOUTH ROAD	N
五洲路	NG CHOW ROAD	N
五柳路	NG LAU ROAD	TM
五桂坊	NG KWAI FONG	C&amp;W
五福里	NG FUK LANE	C&amp;W
井財街	TSENG CHOI STREET	TM
仁宇圍	YAN YUE WAI	KT
仁芳街	YAN FONG STREET	K&amp;T
仁勇街	YAN YUNG STREET	KC
仁政街	YAN CHING STREET	TM
仁風街	YAN FUNG STREET	KC
仁愛堂街	YAN OI TONG CIRCUIT	TM
仁愛街	YAN OI STREET	WTS
仁義路	YAN YEE ROAD	SK
仁壽里	YAN SHAU LANE	C&amp;W
仁德里	YAN TAK LANE	WC
仁樂坊	YAN LOK SQUARE	YL
仁興街	YAN HING STREET	TP
仁濟街	YAN CHAI STREET	TW
元大路	YUEN TAI ROAD	YL
元安里西	UN ON LANE WEST	C&amp;W
元州街	UN CHAU STREET	SSP
元政路	YUEN CHING ROAD	YL
元洲仔里	ISLAND HOUSE LANE	TP
元朗公路	YUEN LONG HIGHWAY	YL-TM
元朗安寧路	YUEN LONG ON NING ROAD	YL
元朗安樂路	YUEN LONG ON LOK ROAD	YL
元朗安興街	YUEN LONG ON HING STREET	YL
元朗東成里路	YUEN LONG TUNG SHING LEI ROAD	YL
元朗東堤街	YUEN LONG TUNG TAI STREET	YL
元朗炮仗坊	YUEN LONG PAU CHEUNG SQUARE	YL
元朗泰祥街	YUEN LONG TAI CHEUNG STREET	YL
元朗泰衡街	YUEN LONG TAI HANG STREET	YL
元朗康樂路	YUEN LONG HONG LOK ROAD	YL
元朗新街	YUEN LONG NEW STREET	YL
元朗舊墟路	YUEN LONG KAU HUI ROAD	YL
元朗體育路	YUEN LONG TAI YUK ROAD	YL
元勝里	UN SHING LANE	C&amp;W
元發徑	YUEN FAT PATH	YL
元福里	UN FUK LANE	C&amp;W
元慶里	YUEN HING LANE	E
元龍街	YUEN LUNG STREET	YL
公主道	PRINCESS MARGARET ROAD	KC-YTM
公庵路	KUNG UM ROAD	YL
公園北路	TOWN PARK ROAD NORTH	YL
公園南路	TOWN PARK ROAD SOUTH	YL
公爵街	DUKE STREET	KC
分域街	FENWICK STREET	WC
分域碼頭街	FENWICK PIER STREET	WC
勿地臣街	MATHESON STREET	WC
友光街	YAU KWONG STREET	Is
友全街	YAU CHUEN STREET	YL
友善街	YAU SHIN STREET	YL
友翔道	YAU CHEUNG ROAD	YTM
友愛路	YAU OI ROAD	TM
友榮街	YAU WING STREET	Is
天文臺圍	OBSERVATORY COURT	YTM
天文臺道	OBSERVATORY ROAD	YTM
天月路	TIN YUET ROAD	YL
天水圍西交匯處	TIN SHUI WAI WEST INTERCHANGE	YL
天平里	TIN PING LANE	N
天平路	TIN PING ROAD	N
天光道	TIN KWONG ROAD	KC
天后路	TIN HAU ROAD	TM
天后廟道	TIN HAU TEMPLE ROAD	E-WC
天地人路	TIN TEI YAN ROAD	TM
天竹街	TIN CHUK STREET	YL
天秀路	TIN SAU ROAD	YL
天河路	TIN HO ROAD	YL
天城路	TIN SHING ROAD	YL
天柏路	TIN PAK ROAD	YL
天美街	TIN MEI STREET	YL
天香街	TIN HEUNG STREET	KT
天恩路	TIN YAN ROAD	YL
天桃街	TIN TO STREET	YL
天華路	TIN WAH ROAD	YL
天祥路	TIN CHEUNG ROAD	YL
天喜街	TIN HEI STREET	YL
天湖路	TIN WU ROAD	YL
天葵路	TIN KWAI ROAD	YL
天順里	TIN SHUN LANE	YL
天慈路	TIN TSZ ROAD	YL
天暉路	TIN FAI ROAD	YL
天業路	TIN YIP ROAD	YL
天瑞徑	TIN SHUI PATH	YL
天瑞路	TIN SHUI ROAD	YL
天際里西	TIN CHAI LANE WEST	KC
天際里東	TIN CHAI LANE EAST	KC
天福路	TIN FUK ROAD	YL
天靖街	TIN CHING STREET	YL
天榮路	TIN WING ROAD	YL
天影徑	TIN YING PATH	YL
天影路	TIN YING ROAD	YL
天樂里	TIN LOK LANE	WC
天壇街	TIN TAN STREET	YL
天龍路	TIN LUNG ROAD	YL
天寶街	TIEN POA STREET	WC
天耀路	TIN YIU ROAD	YL
太子台	PRINCE'S TERRACE	C&amp;W
太子道西	PRINCE EDWARD ROAD WEST	YTM-KC
太子道東	PRINCE EDWARD ROAD EAST	KC-WTS-KT
太古城道	TAIKOO SHING ROAD	E
太古灣道	TAIKOO WAN ROAD	E
太平山街	TAI PING SHAN STREET	C&amp;W
太平道	PEACE AVENUE	KC
太白台	TAI PAK TERRACE	C&amp;W
太安街	TAI ON STREET	E
太和街	TAI WO STREET	WC
太和橋	TAI WO BRIDGE	TP
太茂路	TAI MOU AVENUE	E
太原街	TAI YUEN STREET	WC
太祥街	TAI CHEONG STREET	E
太康街	TAI HONG STREET	E
太富街	TAI FOO STREET	E
太裕路	TAI YUE AVENUE	E
太榮路	TAI WING AVENUE	E
太寧街	TAI NING STREET	E
太樂街	TAI LOK STREET	E
太豐路	TAI FUNG AVENUE	E
孔雀道	PEACOCK ROAD	E
孔嶺北路	HUNG LENG NORTH ROAD	N
屯仁街	TUEN YAN STREET	TM
屯合街	TUEN HOP STREET	TM
屯安里	TUEN ON LANE	TM
屯利街	TUEN LEE STREET	TM
屯門公路	TUEN MUN ROAD	TM-TW
屯門赤鱲角隧道公路	TUEN MUN CHEK LAP KOK TUNNEL ROAD	TM-Is
屯門鄉事會路	TUEN MUN HEUNG SZE WUI ROAD	TM
屯青里	TUEN TSING LANE	TM
屯盛街	TUEN SHING STREET	TM
屯隆街	TUEN LUNG STREET	TM
屯喜路	TUEN HI ROAD	TM
屯富路	TUEN FU ROAD	TM
屯發路	TUEN FAT ROAD	TM
屯貴路	TUEN KWAI ROAD	TM
屯順街	TUEN SHUN STREET	TM
屯匯街	TUEN WUI STREET	TM
屯義街	TUEN YEE STREET	TM
屯樂里	TUEN LOK LANE	TM
屯興路	TUEN HING ROAD	TM
巴丙頓道	BABINGTON PATH	C&amp;W
巴色道	BASEL ROAD	E
巴芬道	BELFRAN ROAD	KC
巴恩大道	BAHANS AVENUE	YL
巴域街	BERWICK STREET	SSP
巴富街	PERTH STREET	KC
巴路士街	BURROWS STREET	WC
巴維拉大道	BEVERA BOULEVARD	YL
幻想道	FANTASY ROAD	TW
扎山道	JAT'S INCLINE	WTS
文化道	CULTURAL DRIVE	YTM
文成街	MAN SING STREET	YTM
文曲里	MAN KUK LANE	SK
文社里	MAN SHE LANE	C&amp;W
文昌街	MAN CHEONG STREET	YTM
文明里	MAN MING LANE	YTM
文東路	MAN TUNG ROAD	Is
文苑街	MAN YUEN STREET	YTM
文英街	MAN YING STREET	YTM
文林路	MAN LAM ROAD	ST
文咸西街	BONHAM STRAND WEST	C&amp;W
文咸東街	BONHAM STRAND	C&amp;W
文恆街	MAN HANG STREET	ST
文華里	MAN WA LANE	C&amp;W
文發街	MAN FAT STREET	SSP
文運道	MAN WAN ROAD	KC
文順巷	MAN SHUN LANE	Is
文匯街	MAN WUI STREET	YTM
文福道	MAN FUK ROAD	KC
文蔚街	MAN WAI STREET	YTM
文質路	MAN CHAT ROAD	TM
文輝道	MANSFIELD ROAD	C&amp;W
文興里	MAN HING LANE	C&amp;W
文錦渡路	MAN KAM TO ROAD	N
文禮路	MAN LAI ROAD	ST
日內瓦大道東	GENEVA EAST AVENUE	N
日內瓦大道南	GENEVA SOUTH AVENUE	N
日善街	YAT SIN STREET	WC
日富里	YAT FU LANE	C&amp;W
日葵徑	SUNFLOWER PATH	YL
日街	SUN STREET	WC
日新街	YAT SAN STREET	YL
月桂徑	OSMANTHUS PATH	YL
月華街	YUET WAH STREET	KT
月街	MOON STREET	WC
月園街	YUET YUEN STREET	E
月輪街	YUET LUN STREET	SSP
木星街	JUPITER STREET	WC
木棉山路	MUK MIN SHAN ROAD	SK
木廠街	MOK CHEONG STREET	KC
比昂大道	HAUT-BRION AVENUE	YL
比雅道	BRIAR AVENUE	WC
水仙徑	NARCISSUS PATH	YL
水池巷	TANK LANE	C&amp;W
水坑口街	POSSESSION STREET	C&amp;W
水尾路	SHUI MEI ROAD	YL
水車館里	SHUI CHE KWUN LANE	YL
水車館街	SHUI CHE KWUN STREET	YL
水巷	WATER LANE	C&amp;W
水星街	MERCURY STREET	WC
水泉坳街	SHUI CHUEN AU STREET	ST
水庫路	SHUI FU ROAD	YL
水渠道	NULLAH ROAD	YTM
水街	WATER STREET	C&amp;W
水塘道	RESERVOIR ROAD	Is
水廠街	SHUI CHONG STREET	ST
水蕉新村路	SHUI TSIU SAN TSUEN ROAD	YL
水頭路	SHUI TAU ROAD	YL
水邊圍交匯處	SHUI PIN WAI INTERCHANGE	YL
水邊圍路	SHUI PIN WAI ROAD	YL
火石道	FLINT ROAD	KC
火炭路	FO TAN ROAD	ST
火龍徑	FIRE DRAGON PATH	WC
牙鷹洲街	NGA YING CHAU STREET	K&amp;T
牛皮沙街	NGAU PEI SHA STREET	ST
牛池灣街	NGAU CHI WAN STREET	WTS
牛津徑	OXFORD LANE	N
牛津道	OXFORD ROAD	KC
牛牯嶺徑	NGAU KWU LENG PATH	TP
牛湖托街	NGAU WU TOK STREET	ST
牛潭尾路	NGAU TAM MEI ROAD	YL
牛頭角道	NGAU TAU KOK ROAD	KT
王屋里	WONG UK LANE	ST
丹荔街	TAN LAI STREET	SSP
丹拿道	TANNER ROAD	E
丹桂村里	TAN KWAI TSUEN LANE	YL
丹桂村路	TAN KWAI TSUEN ROAD	YL
丹桂路	OSMANTHUS ROAD	SSP
六合街	LUK HOP STREET	WTS
世運道	OLYMPIC AVENUE	KC
世歌路	SAI KWO ROAD	YL
丙岡路	PING KONG ROAD	N
主路	MAIN ROAD	YL
主橋路	BRIDGE ROAD	Is
冬青徑	HOLLY DRIVE	N
冬青道	HOLLY ROAD	WC
出水口路	OUTFALL ROAD	Is
功樂道	KUNG LOK ROAD	KT
加士居道	GASCOIGNE ROAD	YTM
加士居道天橋	GASCOIGNE ROAD FLYOVER	YTM
加多近街	CADOGAN STREET	C&amp;W
加州花園大道	PALM SPRINGS BOULEVARD	YL
加列山道	MOUNT KELLETT ROAD	C&amp;W
加拿分道	CARNARVON ROAD	YTM
加連威老道	GRANVILLE ROAD	YTM
加連威老廣場	GRANVILLE SQUARE	YTM
加倫大道	GALLEN BOULEVARD	N
加倫臺	CLARENCE TERRACE	C&amp;W
加冕臺	CORONATION TERRACE	C&amp;W
加惠民道	KA WAI MAN ROAD	C&amp;W
加路連山道	CAROLINE HILL ROAD	WC
加寧街	CLEVELAND STREET	WC
包華士道	PURVES ROAD	WC
半山徑	CELESTIAL AVENUE	KC
半山街	PUN SHAN STREET	TW
半山路	MIDDLE HILL ROAD	Is
半春園路	PUN CHUN YUEN ROAD	TP
卡米爾徑	CARMEL AVENUE	YL
卡連拿徑	CATALINA AVENUE	YL
古坑道	KWU HANG ROAD	TW
古屋里	KWU UK LANE	TW
古洞南路	KWU TUNG SOUTH ROAD	N
古洞路	KWU TUNG ROAD	YL-N
史釗域道	STEWART ROAD	WC
史樂信路	SHROPSHIRE ROAD	YL
司徒拔道	STUBBS ROAD	WC
四山街	SZE SHAN STREET	KT
四川街	SZE CHUEN STREET	KC
四方街	SQUARE STREET	C&amp;W
四陂坊	SZE PEI SQUARE	TW
四美街	SZE MEI STREET	WTS
奶路臣街	NELSON STREET	YTM
尼斯徑	RUE DE NICE	YL
巧明里	HOW MING LANE	KT
巧明街	HOW MING STREET	KT
巧翔街	HAU CHEUNG STREET	YTM
市場街	SEE CHEUNG STREET	SK
布力架街	BRAGA CIRCUIT	KC
布力徑	BLACK'S LINK	WC
布思道	BOYCE ROAD	WC
布格仔路	PO KAK TSAI ROAD	N
布朗街	BROWN STREET	WC
布袋澳村路	PO TOI O CHUEN ROAD	SK
平田街	PING TIN STREET	KT
平安里	PING ON LANE	C&amp;W
平安里	PING ON LANE	TP
平成里	PING SHING LANE	KT
平定道	PING TING ROAD	WTS
平定道東	PING TING ROAD EAST	WTS
平治街	PING CHI STREET	KC
平樂徑	PING LOK PATH	YL
平瀾街	PING LAN STREET	S
必列者士街	BRIDGES STREET	C&amp;W
必發道	BEDFORD ROAD	YTM
必嘉圍	BAKER COURT	KC
必嘉街	BAKER STREET	KC
打比道	DERBY ROAD	KC
打鼓嶺道	TAK KU LING ROAD	KC
打磚坪街	TA CHUEN PING STREET	K&amp;T
打蠔墩路	TA HO TUN ROAD	SK
正街	CENTRE STREET	C&amp;W
正暉街	CHING FAI STREET	WTS
正義道	JUSTICE DRIVE	C&amp;W
正德街	CHING TAK STREET	WTS
民生街	MAN SHANG STREET	N
民兆街	MAN SIU STREET	KC
民光街	MAN KWONG STREET	C&amp;W
民合徑	MAN HOP PATH	YL
民吉街	MAN KAT STREET	C&amp;W
民泰街	MAN TAI STREET	KC
