ch,rank,jyutpi,tone
利,149,lei6,6
比,150,bei2,2
或,151,waak6,6
但,152,daan6,6
質,153,zat1,1
氣,154,hei3,3
第,155,dai6,6
向,156,hoeng3,3
道,157,dou6,6
命,158,ming6,6
此,159,ci2,2
沒,160,mut6,6
變,161,bin3,3
條,162,tiu4,4
只,163,zi2,2
結,164,git3,3
解,165,gaai2,2
問,166,man6,6
意,167,ji3,3
建,168,gin3,3
月,169,jyut6,6
公,170,gung1,1
無,171,mou4,4
軍,172,gwan1,1
很,173,han2,2
情,174,cing4,4
者,175,ze2,2
最,176,zeoi3,3
立,177,lap6,6
代,178,doi6,6
想,179,soeng2,2
已,180,ji5,5
通,181,tung1,1
提,182,tai4,4
直,183,zik6,6
題,184,tai4,4
黨,185,dong2,2
程,186,cing4,4
展,187,zin2,2
五,188,ng5,5
果,189,gwo2,2
料,190,liu2,2
象,191,zoeng6,6
員,192,jyun4,4
革,193,gaak3,3
位,194,wai2,2
入,195,jap6,6
常,196,soeng4,4
文,197,man4,4
總,198,zung2,2
次,199,ci3,3
品,200,ban2,2
式,201,sik1,1
活,202,wut6,6
設,203,cit3,3
及,204,kap6,6
管,205,gun2,2
特,206,dak6,6
件,207,gin6,6
求,208,kau4,4
老,209,lou5,5
頭,210,tau4,4
基,211,gei1,1
資,212,zi1,1
邊,213,bin1,1
流,214,lau4,4
路,215,lou6,6
級,216,kap1,1
少,217,siu2,2
圖,218,tou4,4
山,219,saan1,1
統,220,tung2,2
接,221,zip3,3
知,222,zi1,1
較,223,gaau3,3
將,224,zoeng3,3
組,225,zou2,2
見,226,gin3,3
計,227,gai3,3
別,228,bit6,6
她,229,taa1,1
手,230,sau2,2
角,231,gok3,3
期,232,kei4,4
根,233,gan1,1
論,234,leon6,6
運,235,wan6,6
農,236,nung4,4
指,237,zi2,2
幾,238,gei2,2
九,239,gau2,2
區,240,keoi1,1
強,241,koeng4,4
放,242,fong3,3
決,243,kyut3,3
西,244,sai1,1
被,245,bei6,6
做,246,zou6,6
必,247,bit1,1
戰,248,zin3,3
先,249,sin1,1
則,250,zak1,1
任,251,jam6,6
取,252,ceoi2,2
據,253,geoi3,3
回,254,wui4,4
給,255,kap1,1
調,256,diu6,6
處,257,cyu3,3
隊,258,deoi6,6
南,259,naam4,4
色,260,sik1,1
光,261,gwong1,1
門,262,mun4,4
即,263,zik1,1
保,264,bou2,2
治,265,zi6,6
北,266,bak1,1
造,267,zou6,6
百,268,baak3,3
規,269,kwai1,1
熱,270,jit6,6
領,271,ling5,5
七,272,cat1,1
海,273,hoi2,2
口,274,hau2,2
東,275,dung1,1
導,276,dou6,6
器,277,hei3,3
壓,278,ngaat3,3
世,279,sai3,3
金,280,gam1,1
增,281,zang1,1
爭,282,zang1,1
濟,283,zai3,3
階,284,gaai1,1
油,285,jau4,4
思,286,si1,1
術,287,seot6,6
極,288,gik6,6
交,289,gaau1,1
受,290,sau6,6
幹,291,gon3,3
聯,292,lyun4,4
認,293,jing6,6
六,294,luk6,6
共,295,gung6,6
權,296,kyun4,4
收,297,sau1,1
證,298,zing3,3
改,299,goi2,2
清,300,cing1,1
志,301,zi3,3
己,302,gei2,2
美,303,mei5,5
再,304,zoi3,3
轉,305,zyun2,2
更,306,gang3,3
單,307,daan1,1
風,308,fung1,1
切,309,cit3,3
打,310,daa2,2
白,311,baak6,6
教,312,gaau3,3
速,313,cuk1,1
花,314,faa1,1
帶,315,daai3,3
安,316,ngon1,1
場,317,coeng4,4
身,318,san1,1
車,319,ce1,1
例,320,lai6,6
真,321,zan1,1
務,322,mou6,6
具,323,geoi6,6
萬,324,maan6,6
每,325,mui5,5
目,326,muk6,6
至,327,zi3,3
達,328,daat6,6
走,329,zau2,2
積,330,zik1,1
示,331,si6,6
議,332,ji5,5
聲,333,seng1,1
報,334,bou3,3
鬥,335,dau3,3
完,336,jyun4,4
類,337,leoi6,6
八,338,baat3,3
離,339,lei4,4
華,340,waa4,4
名,341,ming4,4
確,342,kok3,3
科,343,fo1,1
傳,344,cyun4,4
張,345,zoeng1,1
才,346,coi4,4
信,347,seon3,3
馬,348,maa5,5
節,349,zit3,3
話,350,waa6,6
米,351,mai5,5
採,352,coi2,2
整,353,zing2,2
空,354,hung1,1
元,355,jyun4,4
況,356,fong3,3
今,357,gam1,1
集,358,zaap6,6
溫,359,wan1,1
土,360,tou2,2
許,361,heoi2,2
步,362,bou6,6
群,363,kwan4,4
石,364,sek6,6
廣,365,gwong2,2
且,366,ce2,2
記,367,gei3,3
需,368,seoi1,1
段,369,dyun6,6
研,370,jin4,4
界,371,gaai3,3
拉,372,laai1,1
林,373,lam4,4
律,374,leot6,6
叫,375,giu3,3
究,376,gau3,3
觀,377,gun1,1
越,378,jyut6,6
織,379,zik1,1
裝,380,zong1,1
影,381,jing2,2
算,382,syun3,3
低,383,dai1,1
持,384,ci4,4
音,385,jam1,1
眾,386,zung3,3
系,387,hai6,6
書,388,syu1,1
容,389,jung4,4
兒,390,ji4,4
際,391,zai3,3
商,392,soeng1,1
非,393,fei1,1
驗,394,jim6,6
連,395,lin4,4
斷,396,tyun5,5
率,397,leot6,6
深,398,sam1,1
難,399,naan4,4
近,400,gan6,6
須,401,seoi1,1
礦,402,kwong3,3
千,403,cin1,1
省,404,saang2,2
委,405,wai2,2
素,406,sou3,3
技,407,gei6,6
備,408,bei6,6
半,409,bun3,3
辦,410,baan6,6
青,411,cing1,1
列,412,lit6,6
習,413,zaap6,6
便,414,bin6,6
響,415,hoeng2,2
約,416,joek3,3
支,417,zi1,1
般,418,bun1,1
史,419,si2,2
感,420,gam2,2
勞,421,lou4,4
團,422,tyun4,4
往,423,wong5,5
酸,424,syun1,1
稱,425,cing1,1
市,426,si5,5
克,427,hak1,1
何,428,ho4,4
除,429,ceoi4,4
消,430,siu1,1
構,431,kau3,3
府,432,fu2,2
甚,433,sam6,6
太,434,taai3,3
精,435,zing1,1
歷,436,lik6,6
值,437,zik6,6
係,438,hai6,6
周,439,zau1,1
什,440,sam6,6
號,441,hou6,6
族,442,zuk6,6
維,443,wai4,4
劃,444,waak6,6
選,445,syun2,2
標,446,biu1,1
寫,447,se2,2
存,448,cyun4,4
候,449,hau6,6
親,450,can1,1
毛,451,mou4,4
快,452,faai3,3
查,453,caa4,4
效,454,haau6,6
斯,455,si1,1
院,456,jyun2,2
江,457,gong1,1
型,458,jing4,4
眼,459,ngaan5,5
王,460,wong4,4
按,461,on3,3
格,462,gaak3,3
養,463,joeng5,5
易,464,ji6,6
置,465,zi3,3
派,466,paai3,3
層,467,cang4,4
片,468,pin3,3
始,469,ci2,2
卻,470,koek3,3
專,471,zyun1,1
狀,472,zong6,6
育,473,juk6,6
廠,474,cong2,2
京,475,ging1,1
識,476,sik1,1
適,477,sik1,1
參,478,sam1,1
屬,479,suk6,6
圓,480,jyun4,4
包,481,baau1,1
火,482,fo2,2
住,483,zyu6,6
滿,484,mun5,5
縣,485,jyun2,2
局,486,guk6,6
照,487,ziu3,3
準,488,zeon2,2
紅,489,hung4,4
輕,490,hing1,1
引,491,jan5,5
細,492,sai3,3
聽,493,ting3,3
該,494,goi1,1
鐵,495,tit3,3
價,496,gaa3,3
嚴,497,jim4,4
底,498,dai2,2
首,499,sau2,2
液,500,jik6,6
官,501,gun1,1
德,502,dak1,1
隨,503,ceoi4,4
病,504,beng6,6
失,505,sat1,1
爾,506,ji5,5
死,507,sei2,2
講,508,gong2,2
呢,509,ne1,1
蘇,510,sou1,1
配,511,pui3,3
女,512,neoi5,5
黃,513,wong4,4
推,514,teoi1,1
顯,515,hin2,2
談,516,taam4,4
罪,517,zeoi6,6
神,518,san4,4
藝,519,ngai6,6
席,520,zik6,6
含,521,ham4,4
企,522,kei5,5
望,523,mong6,6
密,524,mat6,6
批,525,pai1,1
營,526,jing4,4
項,527,hong6,6
防,528,fong4,4
舉,529,geoi2,2
球,530,kau4,4
英,531,jing1,1
氧,532,joeng5,5
勢,533,sai3,3
告,534,gou3,3
李,535,lei5,5
落,536,lok6,6
布,537,bou3,3
木,538,muk6,6
幫,539,bong1,1
輪,540,leon4,4
破,541,po3,3
亞,542,ngaa3,3
朝,543,ciu4,4
師,544,si1,1
圍,545,wai4,4
遠,546,jyun5,5
字,547,zi6,6
材,548,coi4,4
注,549,zyu3,3
排,550,paai4,4
供,551,gung1,1
河,552,ho4,4
態,553,taai3,3
封,554,fung1,1
另,555,ling6,6
復,556,fuk6,6
施,557,si1,1
減,558,gaam2,2
樹,559,syu6,6
溶,560,jung4,4
怎,561,zam2,2
止,562,zi2,2
案,563,ngon3,3
台,564,toi4,4
言,565,jin4,4
士,566,si6,6
均,567,gwan1,1
武,568,mou5,5
固,569,gu3,3
葉,570,jip6,6
魚,571,jyu4,4
波,572,bo1,1
視,573,si6,6
僅,574,gan2,2
差,575,caa1,1
費,576,fai3,3
降,577,gong3,3
緊,578,gan2,2
愛,579,ngoi3,3
左,580,zo2,2
章,581,zoeng1,1
早,582,zou2,2
害,583,hoi6,6
續,584,zuk6,6
服,585,fuk6,6
食,586,sik6,6
試,587,si3,3
充,588,cung1,1
兵,589,bing1,1
源,590,jyun4,4
判,591,pun3,3
似,592,ci5,5
司,593,si1,1
護,594,wu6,6
足,595,zuk1,1
某,596,mau5,5
練,597,lin6,6
略,598,loek6,6
田,599,tin4,4
黑,600,hak1,1
犯,601,faan6,6
負,602,fu6,6
擊,603,gik1,1
繼,604,gai3,3
興,605,hing1,1
堅,606,gin1,1
輸,607,syu1,1
曲,608,kuk1,1
修,609,sau1,1
故,610,gu3,3
城,611,sing4,4
覺,612,gok3,3
夫,613,fu1,1
夠,614,gau3,3
送,615,sung3,3
笑,616,siu3,3
船,617,syun4,4
右,618,jau6,6
財,619,coi4,4
吃,620,hek3,3
富,621,fu3,3
春,622,ceon1,1
職,623,zik1,1
漢,624,hon3,3
畫,625,waa2,2
功,626,gung1,1
巴,627,baa1,1
裡,628,leoi5,5
跟,629,gan1,1
雖,630,seoi1,1
雜,631,zaap6,6
板,632,baan2,2
飛,633,fei1,1
佔,634,zim3,3
曾,635,cang4,4
樂,636,lok6,6
致,637,zi3,3
檢,638,gim2,2
吸,639,kap1,1
里,640,leoi5,5
助,641,zo6,6
陽,642,joeng4,4
互,643,wu6,6
初,644,co1,1
創,645,cong3,3
抗,646,kong3,3
考,647,haau2,2
投,648,tau4,4
壞,649,waai6,6
策,650,caak3,3
古,651,gu2,2
徑,652,ging3,3
換,653,wun6,6
未,654,mei6,6
跑,655,paau2,2
留,656,lau4,4
鋼,657,gong3,3
端,658,dyun1,1
責,659,zaak3,3
站,660,zaam6,6
簡,661,gaan2,2
升,662,sing1,1
述,663,seot6,6
錢,664,cin2,2
副,665,fu3,3
盡,666,zeon6,6
帝,667,dai3,3
射,668,se6,6
草,669,cou2,2
範,670,faan6,6
承,671,sing4,4
獨,672,duk6,6
令,673,ling6,6
限,674,haan6,6
阿,675,aa1,1
宣,676,syun1,1
環,677,waan4,4
雙,678,soeng1,1
請,679,cing2,2
超,680,ciu1,1
微,681,mei4,4
讓,682,joeng6,6
控,683,hung3,3
州,684,zau1,1
良,685,loeng4,4
軸,686,zuk6,6
找,687,zaau2,2
否,688,fau2,2
紀,689,gei2,2
益,690,jik1,1
依,691,ji1,1
優,692,jau1,1
頂,693,ding2,2
礎,694,co2,2
載,695,zoi3,3
倒,696,dou2,2
房,697,fong4,4
突,698,dat6,6
坐,699,co5,5
粉,700,fan2,2
敵,701,dik6,6
客,702,haak3,3
袁,1918,jyun4,4
冷,704,laang5,5
勝,705,sing3,3
絕,706,zyut6,6
析,707,sik1,1
塊,708,faai3,3
劑,709,zai1,1
測,710,caak1,1
絲,711,si1,1
協,712,hip3,3
訴,713,sou3,3
陳,714,can4,4
仍,715,jing4,4
羅,716,lo4,4
餘,717,jyu4,4
鹽,718,jim4,4
友,719,jau5,5
洋,720,joeng4,4
錯,721,co3,3
苦,722,fu2,2
夜,723,je6,6
刑,724,jing4,4
移,725,ji4,4
模,726,mou4,4
頻,727,pan4,4
念,728,nim6,6
逐,729,zuk6,6
靠,730,kaau3,3
混,731,wan6,6
母,732,mou5,5
短,733,dyun2,2
皮,734,pei4,4
終,735,zung1,1
聚,736,zeoi6,6
汽,737,hei3,3
村,738,cyun1,1
哪,739,naa5,5
既,740,gei3,3
衛,741,wai6,6
距,742,keoi5,5
校,743,haau6,6
停,744,ting4,4
烈,745,lit6,6
央,746,joeng1,1
察,747,caat3,3
燒,748,siu1,1
迅,749,seon3,3
境,750,ging2,2
若,751,joek6,6
印,752,jan3,3
洲,753,zau1,1
刻,754,hak1,1
括,755,kut3,3
激,756,gik1,1
孔,757,hung2,2
搞,758,gaau2,2
室,759,sat1,1
待,760,doi6,6
核,761,hat6,6
散,762,saan3,3
侵,763,cam1,1
吧,764,baa6,6
甲,765,gaap3,3
久,766,gau2,2
菜,767,coi3,3
味,768,mei6,6
舊,769,gau6,6
湖,770,wu4,4
貨,771,fo3,3
彈,772,daan6,6
損,773,syun2,2
預,774,jyu6,6
阻,775,zo2,2
毫,776,hou4,4
乙,777,jyut6,6
普,778,pou2,2
穩,779,wan2,2
媽,780,maa1,1
植,781,zik6,6
息,782,sik1,1
擴,783,kong3,3
銀,784,ngan4,4
語,785,jyu5,5
揮,786,fai1,1
酒,787,zau2,2
雲,788,wan4,4
守,789,sau2,2
拿,790,naa4,4
序,791,zeoi6,6
紙,792,zi2,2
醫,793,ji1,1
熟,794,suk6,6
缺,795,kyut3,3
雨,796,jyu5,5
嗎,797,maa1,1
針,798,zam1,1
劉,799,lau4,4
啊,800,aa3,3
急,801,gap1,1
唱,802,coeng3,3
訓,803,fan3,3
誤,804,ng6,6
願,805,jyun6,6
審,806,sam2,2
血,807,hyut3,3
附,808,fu6,6
茶,809,caa4,4
鮮,810,sin1,1
糧,811,loeng4,4
斤,812,gan1,1
孩,813,haai4,4
脫,814,tyut3,3
硫,815,lau4,4
善,816,sin6,6
肥,817,fei4,4
演,818,jin2,2
龍,819,lung4,4
父,820,fu6,6
漸,821,zim6,6
歡,822,fun1,1
掌,823,zoeng2,2
械,824,haai6,6
歌,825,go1,1
沙,826,saa1,1
獲,827,wok6,6
著,828,zyu3,3
剛,829,gong1,1
製,830,zai3,3
攻,831,gung1,1
謂,832,wai6,6
盾,833,teon5,5
討,834,tou2,2
晚,835,maan5,5
佈,836,bou3,3
粒,837,nap1,1
亂,838,lyun6,6
燃,839,jin4,4
矛,840,maau4,4
乎,841,fu4,4
殺,842,saat3,3
複,843,fuk1,1
藥,844,joek6,6
寧,845,ning4,4
魯,846,lou5,5
貴,847,gwai3,3
煤,848,mui4,4
伯,849,baak3,3
讀,850,duk6,6
班,851,baan1,1
句,852,geoi3,3
香,853,hoeng1,1
迫,854,bik1,1
介,855,gaai3,3
豐,856,fung1,1
培,857,pui4,4
握,858,aak1,1
蘭,859,laan4,4
弦,860,jin4,4
擔,861,daam1,1
蛋,862,daan2,2
沉,863,cam4,4
假,864,gaa3,3
執,865,zap1,1
穿,866,cyun1,1
答,867,daap3,3
誰,868,seoi4,4
順,869,seon6,6
煙,870,jin1,1
縮,871,suk1,1
臉,872,lim5,5
喜,873,hei2,2
腳,874,goek3,3
異,875,ji6,6
免,876,min5,5
困,877,kwan3,3
背,878,bui3,3
星,879,sing1,1
福,880,fuk1,1
買,881,maai5,5
染,882,jim5,5
井,883,zeng2,2
概,884,koi3,3
慢,885,maan6,6
怕,886,paa3,3
游,887,jau4,4
磁,888,ci4,4
倍,889,pui5,5
祖,890,zou2,2
皇,891,wong4,4
薄,892,bok6,6
促,893,cuk1,1
靜,894,zing6,6
補,895,bou2,2
評,896,ping4,4
鐘,897,zung1,1
翻,898,faan1,1
肉,899,juk6,6
踐,900,cin5,5
尼,901,nei4,4
衣,902,ji1,1
寬,903,fun1,1
揚,904,joeng4,4
棉,905,min4,4
希,906,hei1,1
傷,907,soeng1,1
操,908,cou1,1
藏,909,cong4,4
垂,910,seoi4,4
宜,911,ji4,4
秋,912,cau1,1
氫,913,hing1,1
露,914,lou6,6
套,915,tou3,3
督,916,duk1,1
筆,917,bat1,1
振,918,zan3,3
亮,919,loeng6,6
憲,920,hin3,3
末,921,mut6,6
架,922,gaa3,3
慶,923,hing3,3
綠,924,luk6,6
編,925,pin1,1
牛,926,ngau4,4
映,927,jing2,2
觸,928,zuk1,1
銷,929,siu1,1
雷,930,leoi4,4
座,931,zo6,6
詩,932,si1,1
居,933,geoi1,1
抓,934,zaa1,1
裂,935,lit6,6
胞,936,baau1,1
呼,937,fu1,1
娘,938,noeng4,4
景,939,ging2,2
盟,940,mang4,4
威,941,wai1,1
晶,942,zing1,1
厚,943,hau5,5
衡,944,hang4,4
孫,945,syun1,1
延,946,jin4,4
雞,947,gai1,1
危,948,ngai4,4
膠,949,gaau1,1
屋,950,nguk1,1
鄉,951,hoeng1,1
沖,952,cung1,1
臨,953,lam4,4
陸,954,luk6,6
顧,955,gu3,3
掉,956,diu6,6
呀,957,aa1,1
奇,958,kei4,4
燈,959,dang1,1
歲,960,seoi3,3
措,961,cou3,3
束,962,cuk1,1
耐,963,noi6,6
劇,964,kek6,6
玉,965,juk6,6
趙,966,ziu6,6
跳,967,tiu3,3
哥,968,go1,1
季,969,gwai3,3
課,970,fo3,3
凱,971,hoi2,2
額,972,ngaak6,6
齊,973,cai4,4
款,974,fun2,2
紹,975,siu6,6
偉,976,wai5,5
蒸,977,zing1,1
永,978,wing5,5
殖,979,zik6,6
宗,980,zung1,1
苗,981,miu4,4
川,982,cyun1,1
爐,983,lou4,4
弱,984,joek6,6
楊,985,joeng4,4
零,986,ling4,4
奏,987,zau3,3
沿,988,jyun4,4
岩,989,ngaam4,4
探,990,taam3,3
滑,991,waat6,6
鎮,992,zan3,3
飯,993,faan6,6
濃,994,nung4,4
航,995,hong4,4
懷,996,waai4,4
趕,997,gon2,2
庫,998,fu3,3
奪,999,dyut6,6
伊,1000,ji1,1
稅,1001,seoi3,3
靈,1002,ling4,4
途,1003,tou4,4
滅,1004,mit6,6
賽,1005,coi3,3
召,1006,ziu6,6
歸,1007,gwai1,1
鼓,1008,gu2,2
播,1009,bo3,3
盤,1010,pun4,4
裁,1011,coi4,4
險,1012,him2,2
康,1013,hong1,1
唯,1014,wai4,4
錄,1015,luk6,6
菌,1016,kwan2,2
純,1017,seon4,4
蓋,1018,goi3,3
橫,1019,waang4,4
繫,1020,hai6,6
私,1021,si1,1
符,1022,fu4,4
努,1023,nou5,5
堂,1024,tong4,4
域,1025,wik6,6
糖,1026,tong4,4
槍,1027,coeng1,1
潤,1028,jeon6,6
幅,1029,fuk1,1
哈,1030,haa1,1
竟,1031,ging2,2
澤,1032,zaak6,6
腦,1033,nou5,5
壤,1034,joeng5,5
碳,1035,taan3,3
歐,1036,ngau1,1
側,1037,zak1,1
遍,1038,pin3,3
寨,1039,zaai6,6
干,1040,gon1,1
敢,1041,gam2,2
徹,1042,cit3,3
惡,1043,ngok3,3
慮,1044,leoi6,6
斜,1045,ce4,4
庭,1046,ting4,4
納,1047,naap6,6
于,1048,jyu1,1
塞,1049,coi3,3
折,1050,zit3,3
飼,1051,zi6,6
伸,1052,san1,1
濕,1053,sap1,1
麥,1054,mak6,6
荷,1055,ho4,4
暗,1056,ngam3,3
瓦,1057,ngaa5,5
床,1058,cong4,4
卡,1059,kaa1,1
築,1060,zuk1,1
戶,1061,wu6,6
塔,1062,taap3,3
訪,1063,fong2,2
透,1064,tau3,3
刀,1065,dou1,1
旋,1066,syun4,4
借,1067,ze3,3
氯,1068,luk6,6
遇,1069,jyu6,6
份,1070,fan6,6
毒,1071,duk6,6
泥,1072,nai4,4
退,1073,teoi3,3
洗,1074,sai2,2
蟲,1075,cung4,4
擺,1076,baai2,2
灰,1077,fui1,1
彩,1078,coi2,2
賣,1079,maai6,6
圈,1080,hyun1,1
耗,1081,hou3,3
夏,1082,haa6,6
擇,1083,zaak6,6
忙,1084,mong4,4
獻,1085,hin3,3
銅,1086,tung4,4
硬,1087,ngang4,4
予,1088,jyu5,5
削,1089,soek3,3
卷,1090,gyun2,2
繁,1091,faan4,4
雪,1092,syut3,3
亦,1093,jik6,6
函,1094,haam4,4
抽,1095,cau1,1
篇,1096,pin1,1
陣,1097,zan6,6
陰,1098,jam1,1
丁,1099,ding1,1
尺,1100,cek3,3
追,1101,zeoi1,1
堆,1102,deoi1,1
盛,1103,sing6,6
雄,1104,hung4,4
迎,1105,jing4,4
泛,1106,faan3,3
樓,1107,lau4,4
爸,1108,baa1,1
避,1109,bei6,6
謀,1110,mau4,4
噸,1111,deon1,1
野,1112,je5,5
豬,1113,zyu1,1
旗,1114,kei4,4
偏,1115,pin1,1
典,1116,din2,2
館,1117,gun2,2
索,1118,sok3,3
秦,1119,ceon4,4
脂,1120,zi1,1
潮,1121,ciu4,4
爺,1122,je4,4
忽,1123,fat1,1
塑,1124,sou3,3
遺,1125,wai4,4
松,1126,cung4,4
累,1127,leoi6,6
愈,1128,jyu6,6
朱,1129,zyu1,1
替,1130,tai3,3
纖,1131,cim1,1
豆,1132,dau6,6
傾,1133,king1,1
粗,1134,cou1,1
尚,1135,soeng6,6
痛,1136,tung3,3
楚,1137,co2,2
驚,1138,ging1,1
壁,1139,bik1,1
衝,1140,cung1,1
謝,1141,ze6,6
奮,1142,fan5,5
購,1143,kau3,3
磨,1144,mo4,4
君,1145,gwan1,1
池,1146,ci4,4
旁,1147,pong4,4
碎,1148,seoi3,3
骨,1149,gwat1,1
徵,1150,zing1,1
監,1151,gaam1,1
捕,1152,bou6,6
弟,1153,dai6,6
胡,1154,wu4,4
暴,1155,bou6,6
割,1156,got3,3
殊,1157,syu4,4
貫,1158,gun3,3
釋,1159,sik1,1
托,1160,tok3,3
詞,1161,ci4,4
頓,1162,deon6,6
寶,1163,bou2,2
午,1164,ng5,5
塵,1165,can4,4
聞,1166,man4,4
揭,1167,kit3,3
炮,1168,paau3,3
殘,1169,caan4,4
橋,1170,kiu4,4
婦,1171,fu5,5
綜,1172,zung1,1
警,1173,ging2,2
招,1174,ziu1,1
吳,1175,ng4,4
付,1176,fu6,6
浮,1177,fau4,4
遭,1178,zou1,1
徐,1179,ceoi4,4
冬,1180,dung1,1
您,1181,nei5,5
搖,1182,jiu4,4
谷,1183,guk1,1
箱,1184,soeng1,1
隔,1185,gaak3,3
訂,1186,deng6,6
男,1187,naam4,4
吹,1188,ceoi1,1
園,1189,jyun4,4
柱,1190,cyu5,5
唐,1191,tong4,4
紛,1192,fan1,1
敗,1193,baai6,6
嘴,1194,zeoi2,2
宋,1195,sung3,3
玻,1196,bo1,1
巨,1197,geoi6,6
耕,1198,gaang1,1
坦,1199,taan2,2
榮,1200,wing4,4
灣,1201,waan1,1
閉,1202,bai3,3
鍵,1203,gin6,6
剝,1204,mok1,1
凡,1205,faan4,4
並,1206,bing6,6
駐,1207,zyu3,3
救,1208,gau3,3
鍋,1209,wo1,1
恩,1210,jan1,1
凝,1211,jing4,4
堿,1212,gaan2,2
齒,1213,ci2,2
截,1214,zit6,6
跡,1215,zik1,1
麻,1216,maa4,4
禁,1217,gam3,3
紡,1218,fong2,2
廢,1219,fai3,3
版,1220,baan2,2
緩,1221,wun4,4
淨,1222,zing6,6
睛,1223,zing1,1
昌,1224,coeng1,1
婚,1225,fan1,1
涉,1226,sip3,3
筒,1227,tung2,2
插,1228,caap3,3
岸,1229,ngon6,6
朗,1230,long5,5
莊,1231,zong1,1
街,1232,gaai1,1
姑,1233,gu1,1
貿,1234,mau6,6
奴,1235,nou4,4
煉,1236,lin6,6
腐,1237,fu6,6
啦,1238,laa1,1
慣,1239,gwaan3,3
乘,1240,sing4,4
恢,1241,fui1,1
勻,1242,wan4,4
梁,1243,loeng4,4
紗,1244,saa1,1
辯,1245,bin6,6
耳,1246,ji5,5
彪,1247,biu1,1
抵,1248,dai2,2
臣,1249,san4,4
億,1250,jik1,1
脈,1251,mak6,6
璃,1252,lei4,4
秀,1253,sau3,3
薩,1254,saat3,3
俄,1255,ngo4,4
網,1256,mong5,5
舞,1257,mou5,5
店,1258,dim3,3
噴,1259,pan3,3
縱,1260,zung3,3
寸,1261,cyun3,3
童,1262,tung4,4
汗,1263,hon6,6
洪,1264,hung4,4
賀,1265,ho6,6
閃,1266,sim2,2
掛,1267,gwaa3,3
柬,1268,gaan2,2
爆,1269,baau3,3
烯,1270,hei1,1
勒,1271,lak6,6
津,1272,zeon1,1
軋,1273,zaat3,3
稻,1274,dou6,6
軟,1275,jyun5,5
勇,1276,jung5,5
像,1277,zoeng6,6
杆,1278,gon1,1
厘,1279,lei4,4
滾,1280,gwan2,2
蒙,1281,mung4,4
芳,1282,fong1,1
肯,1283,hang2,2
坡,1284,bo1,1
腿,1285,teoi2,2
