rank,jyutpi,ch
0339,lei4  ,離 
0340,waa4  ,華 
0341,ming4 ,名 
0342,kok3  ,確 
0343,fo1   ,科 
0344,cyun4 ,傳 
0345,zoeng1,張 
0346,coi4  ,才 
0347,seon3 ,信 
0348,maa5  ,馬 
0349,zit3  ,節 
0350,waa6  ,話 
0351,mai5  ,米 
0352,coi2  ,採 
0353,zing2 ,整 
0354,hung1 ,空 
0355,jyun4 ,元 
0356,fong3 ,況 
0357,gam1  ,今 
0358,zaap6 ,集 
0359,wan1  ,溫 
0360,tou2  ,土 
0361,heoi2 ,許 
0362,bou6  ,步 
0363,kwan4 ,群 
0364,sek6  ,石 
0365,gwong2,廣 
0366,ce2   ,且 
0367,gei3  ,記 
0368,seoi1 ,需 
0369,dyun6 ,段 
0370,jin4  ,研 
0371,gaai3 ,界 
0372,laai1 ,拉 
0373,lam4  ,林 
0374,leot6 ,律 
0375,giu3  ,叫 
0376,gau3  ,究 
0377,gun1  ,觀 
0378,jyut6 ,越 
0379,zik1  ,織 
0380,zong1 ,裝 
0381,jing2 ,影 
0382,syun3 ,算 
0383,dai1  ,低 
0384,ci4   ,持 
0385,jam1  ,音 
0386,zung3 ,眾 
0387,hai6  ,系 
0388,syu1  ,書 
0389,jung4 ,容 
0390,ji4   ,兒 
0391,zai3  ,際 
0392,soeng1,商 
0393,fei1  ,非 
0394,jim6  ,驗 
0395,lin4  ,連 
0396,tyun5 ,斷 
0397,leot6 ,率 
0398,sam1  ,深 
0399,naan4 ,難 
0400,gan6  ,近 
0401,seoi1 ,須 
0402,kwong3,礦 
0403,cin1  ,千 
0404,saang2,省 
0405,wai2  ,委 
0406,sou3  ,素 
0407,gei6  ,技 
0408,bei6  ,備 
0409,bun3  ,半 
0410,baan6 ,辦 
0411,cing1 ,青 
0412,lit6  ,列 
0413,zaap6 ,習 
0414,bin6  ,便 
0415,hoeng2,響 
0416,joek3 ,約 
0417,zi1   ,支 
0418,bun1  ,般 
0419,si2   ,史 
0420,gam2  ,感 
0421,lou4  ,勞 
0422,tyun4 ,團 
0423,wong5 ,往 
0424,syun1 ,酸 
0425,cing1 ,稱 
0426,si5   ,市 
0427,hak1  ,克 
0428,ho4   ,何 
0429,ceoi4 ,除 
0430,siu1  ,消 
0431,kau3  ,構 
0432,fu2   ,府 
0433,sam6  ,甚 
0434,taai3 ,太 
0435,zing1 ,精 
0436,lik6  ,歷 
0437,zik6  ,值 
0438,hai6  ,係 
0439,zau1  ,周 
0440,sam6  ,什 
0441,hou6  ,號 
0442,zuk6  ,族 
0443,wai4  ,維 
0444,waak6 ,劃 
0445,syun2 ,選 
0446,biu1  ,標 
0447,se2   ,寫 
0448,cyun4 ,存 
0449,hau6  ,候 
0450,can1  ,親 
0451,mou4  ,毛 
0452,faai3 ,快 
0453,caa4  ,查 
0454,haau6 ,效 
0455,si1   ,斯 
0456,jyun2 ,院 
0457,gong1 ,江 
0458,jing4 ,型 
0459,ngaan5,眼 
0460,wong4 ,王 
0461,on3   ,按 
0462,gaak3 ,格 
0463,joeng5,養 
0464,ji6   ,易 
0465,zi3   ,置 
0466,paai3 ,派 
0467,cang4 ,層 
0468,pin3  ,片 
0469,ci2   ,始 
0470,koek3 ,卻 
0471,zyun1 ,專 
0472,zong6 ,狀 
0473,juk6  ,育 
0474,cong2 ,廠 
0475,ging1 ,京 
0476,sik1  ,識 
0477,sik1  ,適 
0478,sam1  ,參 
0479,suk6  ,屬 
0480,jyun4 ,圓 
0481,baau1 ,包 
0482,fo2   ,火 
0483,zyu6  ,住 
0484,mun5  ,滿 
0485,jyun2 ,縣 
0486,guk6  ,局 
0487,ziu3  ,照 
0488,zeon2 ,準 
0489,hung4 ,紅 
0490,hing1 ,輕 
0491,jan5  ,引 
0492,sai3  ,細 
0493,ting3 ,聽 
0494,goi1  ,該 
0495,tit3  ,鐵 
0496,gaa3  ,價 
0497,jim4  ,嚴 
0498,dai2  ,底 
0499,sau2  ,首 
0500,jik6  ,液 
0501,gun1  ,官 
0502,dak1  ,德 
0503,ceoi4 ,隨 
0504,beng6 ,病 
0505,sat1  ,失 
0506,ji5   ,爾 
0507,sei2  ,死 
0508,gong2 ,講 
0509,ne1   ,呢 
0510,sou1  ,蘇 
0511,pui3  ,配 
0512,neoi5 ,女 
0513,wong4 ,黃 
0514,teoi1 ,推 
0515,hin2  ,顯 
0516,taam4 ,談 
0517,zeoi6 ,罪 
0518,san4  ,神 
0519,ngai6 ,藝 
0520,zik6  ,席 
0521,ham4  ,含 
0522,kei5  ,企 
0523,mong6 ,望 
0524,mat6  ,密 
0525,pai1  ,批 
0526,jing4 ,營 
0527,hong6 ,項 
0528,fong4 ,防 
0529,geoi2 ,舉 
0530,kau4  ,球 
0531,jing1 ,英 
0532,joeng5,氧 
0533,sai3  ,勢 
0534,gou3  ,告 
0535,lei5  ,李 
0536,lok6  ,落 
0537,bou3  ,布 
0538,muk6  ,木 
0539,bong1 ,幫 
0540,leon4 ,輪 
0541,po3   ,破 
0542,ngaa3 ,亞 
0543,ciu4  ,朝 
0544,si1   ,師 
0545,wai4  ,圍 
0546,jyun5 ,遠 
0547,zi6   ,字 
0548,coi4  ,材 
0549,zyu3  ,注 
0550,paai4 ,排 
0551,gung1 ,供 
0552,ho4   ,河 
0553,taai3 ,態 
0554,fung1 ,封 
0555,ling6 ,另 
0556,fuk6  ,復 
0557,si1   ,施 
0558,gaam2 ,減 
0559,syu6  ,樹 
0560,jung4 ,溶 
0561,zam2  ,怎 
0562,zi2   ,止 
0563,ngon3 ,案 
0564,toi4  ,台 
0565,jin4  ,言 
0566,si6   ,士 
0567,gwan1 ,均 
0568,mou5  ,武 
0569,gu3   ,固 
0570,jip6  ,葉 
0571,jyu4  ,魚 
0572,bo1   ,波 
0573,si6   ,視 
0574,gan2  ,僅 
0575,caa1  ,差 
0576,fai3  ,費 
0577,gong3 ,降 
0578,gan2  ,緊 
0579,ngoi3 ,愛 
0580,zo2   ,左 
0581,zoeng1,章 
0582,zou2  ,早 
0583,hoi6  ,害 
0584,zuk6  ,續 
0585,fuk6  ,服 
0586,sik6  ,食 
0587,si3   ,試 
0588,cung1 ,充 
0589,bing1 ,兵 
0590,jyun4 ,源 
0591,pun3  ,判 
0592,ci5   ,似 
0593,si1   ,司 
0594,wu6   ,護 
0595,zuk1  ,足 
0596,mau5  ,某 
0597,lin6  ,練 
0598,loek6 ,略 
0599,tin4  ,田 
0600,hak1  ,黑 
0601,faan6 ,犯 
0602,fu6   ,負 
0603,gik1  ,擊 
0604,gai3  ,繼 
0605,hing1 ,興 
0606,gin1  ,堅 
0607,syu1  ,輸 
0608,kuk1  ,曲 
0609,sau1  ,修 
0610,gu3   ,故 
0611,sing4 ,城 
0612,gok3  ,覺 
0613,fu1   ,夫 
0614,gau3  ,夠 
0615,sung3 ,送 
0616,siu3  ,笑 
0617,syun4 ,船 
0618,jau6  ,右 
0619,coi4  ,財 
0620,hek3  ,吃 
0621,fu3   ,富 
0622,ceon1 ,春 
0623,zik1  ,職 
0624,hon3  ,漢 
0625,waa2  ,畫 
0626,gung1 ,功 
0627,baa1  ,巴 
0628,leoi5 ,裡 
0629,gan1  ,跟 
0630,seoi1 ,雖 
0631,zaap6 ,雜 
0632,baan2 ,板 
0633,fei1  ,飛 
0634,zim3  ,佔 
0635,cang4 ,曾 
0636,lok6  ,樂 
0637,zi3   ,致 
0638,gim2  ,檢 
0639,kap1  ,吸 
0640,leoi5 ,里 
0641,zo6   ,助 
0642,joeng4,陽 
0643,wu6   ,互 
0644,co1   ,初 
0645,cong3 ,創 
0646,kong3 ,抗 
0647,haau2 ,考 
0648,tau4  ,投 
0649,waai6 ,壞 
0650,caak3 ,策 
0651,gu2   ,古 
0652,ging3 ,徑 
0653,wun6  ,換 
0654,mei6  ,未 
0655,paau2 ,跑 
0656,lau4  ,留 
0657,gong3 ,鋼 
0658,dyun1 ,端 
0659,zaak3 ,責 
0660,zaam6 ,站 
0661,gaan2 ,簡 
0662,sing1 ,升 
0663,seot6 ,述 
0664,cin2  ,錢 
0665,fu3   ,副 
0666,zeon6 ,盡 
0667,dai3  ,帝 
0668,se6   ,射 
0669,cou2  ,草 
0670,faan6 ,範 
0671,sing4 ,承 
0672,duk6  ,獨 
0673,ling6 ,令 
0674,haan6 ,限 
0675,aa3   ,阿 
0676,syun1 ,宣 
0677,waan4 ,環 
0678,soeng1,雙 
0679,cing2 ,請 
0680,ciu1  ,超 
0681,mei4  ,微 
0682,joeng6,讓 
0683,hung3 ,控 
0684,zau1  ,州 
0685,loeng4,良 
0686,zuk6  ,軸 
0687,zaau2 ,找 
0688,fau2  ,否 
0689,gei2  ,紀 
0690,jik1  ,益 
0691,ji1   ,依 
0692,jau1  ,優 
0693,ding2 ,頂 
0694,co2   ,礎 
0695,zoi3  ,載 
0696,dou2  ,倒 
0697,fong4 ,房 
0698,dat6  ,突 
0699,co5   ,坐 
0700,fan2  ,粉 
0701,dik6  ,敵 
0702,haak3 ,客 
1918,jyun4 ,袁 
0704,laang5,冷 
0705,sing3 ,勝 
0706,zyut6 ,絕 
0707,sik1  ,析 
0708,faai3 ,塊 
0709,zai1  ,劑 
0710,caak1 ,測 
0711,si1   ,絲 
0712,hip3  ,協 
0713,sou3  ,訴 
0714,can4  ,陳 
0715,jing4 ,仍 
0716,lo4   ,羅 
0717,jyu4  ,餘 
0718,jim4  ,鹽 
0719,jau5  ,友 
0720,joeng4,洋 
0721,co3   ,錯 
0722,fu2   ,苦 
0723,je6   ,夜 
0724,jing4 ,刑 
0725,ji4   ,移 
0726,mou4  ,模 
0727,pan4  ,頻 
0728,nim6  ,念 
0729,zuk6  ,逐 
0730,kaau3 ,靠 
0731,wan6  ,混 
0732,mou5  ,母 
0733,dyun2 ,短 
0734,pei4  ,皮 
0735,zung1 ,終 
0736,zeoi6 ,聚 
0737,hei3  ,汽 
0738,cyun1 ,村 
0739,naa5  ,哪 
0740,gei3  ,既 
0741,wai6  ,衛 
0742,keoi5 ,距 
0743,haau6 ,校 
0744,ting4 ,停 
0745,lit6  ,烈 
0746,joeng1,央 
0747,caat3 ,察 
0748,siu1  ,燒 
0749,seon3 ,迅 
0750,ging2 ,境 
0751,joek6 ,若 
0752,jan3  ,印 
0753,zau1  ,洲 
0754,hak1  ,刻 
0755,kut3  ,括 
0756,gik1  ,激 
0757,hung2 ,孔 
0758,gaau2 ,搞 
0759,sat1  ,室 
0760,doi6  ,待 
0761,hat6  ,核 
0762,saan3 ,散 
0763,cam1  ,侵 
0764,baa1  ,吧 
0765,gaap3 ,甲 
0766,gau2  ,久 
0767,coi3  ,菜 
0768,mei6  ,味 
0769,gau6  ,舊 
0770,wu4   ,湖 
0771,fo3   ,貨 
0772,daan6 ,彈 
0773,syun2 ,損 
0774,jyu6  ,預 
0775,zo2   ,阻 
0776,hou4  ,毫 
0777,jyut6 ,乙 
0778,pou2  ,普 
0779,wan2  ,穩 
0780,maa1  ,媽 
0781,zik6  ,植 
0782,sik1  ,息 
0783,kong3 ,擴 
0784,ngan4 ,銀 
0785,jyu5  ,語 
0786,fai1  ,揮 
0787,zau2  ,酒 
0788,wan4  ,雲 
0789,sau2  ,守 
0790,naa4  ,拿 
0791,zeoi6 ,序 
0792,zi2   ,紙 
0793,ji1   ,醫 
0794,suk6  ,熟 
0795,kyut3 ,缺 
0796,jyu5  ,雨 
0797,maa1  ,嗎 
0798,zam1  ,針 
0799,lau4  ,劉 
0800,aa1   ,啊 
0801,gap1  ,急 
0802,coeng3,唱 
0803,fan3  ,訓 
0804,ng6   ,誤 
0805,jyun6 ,願 
0806,sam2  ,審 
0807,hyut3 ,血 
0808,fu6   ,附 
0809,caa4  ,茶 
0810,sin1  ,鮮 
0811,loeng4,糧 
0812,gan1  ,斤 
0813,haai4 ,孩 
0814,tyut3 ,脫 
0815,lau4  ,硫 
0816,sin6  ,善 
0817,fei4  ,肥 
0818,jin2  ,演 
0819,lung4 ,龍 
0820,fu6   ,父 
0821,zim6  ,漸 
0822,fun1  ,歡 
0823,zoeng2,掌 
0824,haai6 ,械 
0825,go1   ,歌 
0826,saa1  ,沙 
0827,wok6  ,獲 
0828,zyu3  ,著 
0829,gong1 ,剛 
0830,zai3  ,製 
0831,gung1 ,攻 
0832,wai6  ,謂 
0833,teon5 ,盾 
0834,tou2  ,討 
0835,maan5 ,晚 
0836,bou3  ,佈 
0837,lap1  ,粒 
0838,lyun6 ,亂 
0839,jin4  ,燃 
0840,maau4 ,矛 
0841,fu4   ,乎 
0842,saat3 ,殺 
0843,fuk1  ,複 
0844,joek6 ,藥 
0845,ning4 ,寧 
0846,lou5  ,魯 
0847,gwai3 ,貴 
0848,mui4  ,煤 
0849,baak3 ,伯 
0850,duk6  ,讀 
0851,baan1 ,班 
0852,geoi3 ,句 
0853,hoeng1,香 
0854,bik1  ,迫 
0855,gaai3 ,介 
0856,fung1 ,豐 
0857,pui4  ,培 
0858,aak1  ,握 
0859,laan4 ,蘭 
0860,jin4  ,弦 
0861,daam1 ,擔 
0862,daan2 ,蛋 
0863,cam4  ,沉 
0864,gaa3  ,假 
0865,zap1  ,執 
0866,cyun1 ,穿 
0867,daap3 ,答 
0868,seoi4 ,誰 
0869,seon6 ,順 
0870,jin1  ,煙 
0871,suk1  ,縮 
0872,lim5  ,臉 
0873,hei2  ,喜 
0874,goek3 ,腳 
0875,ji6   ,異 
0876,min5  ,免 
0877,kwan3 ,困 
0878,bui3  ,背 
0879,sing1 ,星 
0880,fuk1  ,福 
0881,maai5 ,買 
0882,jim5  ,染 
0883,zeng2 ,井 
0884,koi3  ,概 
0885,maan6 ,慢 
0886,paa3  ,怕 
0887,jau4  ,游 
0888,ci4   ,磁 
0889,pui5  ,倍 
0890,zou2  ,祖 
0891,wong4 ,皇 
0892,bok6  ,薄 
0893,cuk1  ,促 
0894,zing6 ,靜 
0895,bou2  ,補 
0896,ping4 ,評 
0897,zung1 ,鐘 
0898,faan1 ,翻 
0899,juk6  ,肉 
0900,cin5  ,踐 
0901,nei4  ,尼 
0902,ji1   ,衣 
0903,fun1  ,寬 
0904,joeng4,揚 
0905,min4  ,棉 
0906,hei1  ,希 
0907,soeng1,傷 
0908,cou1  ,操 
0909,cong4 ,藏 
0910,seoi4 ,垂 
0911,ji4   ,宜 
0912,cau1  ,秋 
0913,hing1 ,氫 
0914,lou6  ,露 
0915,tou3  ,套 
0916,duk1  ,督 
0917,bat1  ,筆 
0918,zan3  ,振 
0919,loeng6,亮 
0920,hin3  ,憲 
0921,mut6  ,末 
0922,gaa3  ,架 
0923,hing3 ,慶 
0924,luk6  ,綠 
0925,pin1  ,編 
0926,ngau4 ,牛 
0927,jing2 ,映 
0928,zuk1  ,觸 
0929,siu1  ,銷 
0930,leoi4 ,雷 
0931,zo6   ,座 
0932,si1   ,詩 
0933,geoi1 ,居 
0934,zaa1  ,抓 
0935,lit6  ,裂 
0936,baau1 ,胞 
0937,fu1   ,呼 
0938,noeng4,娘 
0939,ging2 ,景 
0940,mang4 ,盟 
0941,wai1  ,威 
0942,zing1 ,晶 
0943,hau5  ,厚 
0944,hang4 ,衡 
0945,syun1 ,孫 
0946,jin4  ,延 
0947,gai1  ,雞 
0948,ngai4 ,危 
0949,gaau1 ,膠 
0950,nguk1 ,屋 
0951,hoeng1,鄉 
0952,cung1 ,沖 
0953,lam4  ,臨 
0954,luk6  ,陸 
0955,gu3   ,顧 
0956,diu6  ,掉 
0957,aa1   ,呀 
0958,kei4  ,奇 
0959,dang1 ,燈 
0960,seoi3 ,歲 
0961,cou3  ,措 
0962,cuk1  ,束 
0963,noi6  ,耐 
0964,kek6  ,劇 
0965,juk6  ,玉 
0966,ziu6  ,趙 
0967,tiu3  ,跳 
0968,go1   ,哥 
0969,gwai3 ,季 
0970,fo3   ,課 
0971,hoi2  ,凱 
0972,ngaak6,額 
0973,cai4  ,齊 
0974,fun2  ,款 
0975,siu6  ,紹 
0976,wai5  ,偉 
0977,zing1 ,蒸 
0978,wing5 ,永 
0979,zik6  ,殖 
0980,zung1 ,宗 
0981,miu4  ,苗 
0982,cyun1 ,川 
0983,lou4  ,爐 
0984,joek6 ,弱 
0985,joeng4,楊 
0986,ling4 ,零 
0987,zau3  ,奏 
0988,jyun4 ,沿 
0989,ngaam4,岩 
0990,taam3 ,探 
0991,waat6 ,滑 
0992,zan3  ,鎮 
0993,faan6 ,飯 
0994,nung4 ,濃 
0995,hong4 ,航 
0996,waai4 ,懷 
0997,gon2  ,趕 
0998,fu3   ,庫 
0999,dyut6 ,奪 
1000,ji1   ,伊 
1001,seoi3 ,稅 
1002,ling4 ,靈 
1003,tou4  ,途 
1004,mit6  ,滅 
1005,coi3  ,賽 
1006,ziu6  ,召 
1007,gwai1 ,歸 
1008,gu2   ,鼓 
1009,bo3   ,播 
1010,pun4  ,盤 
1011,coi4  ,裁 
1012,him2  ,險 
1013,hong1 ,康 
1014,wai4  ,唯 
1015,luk6  ,錄 
1016,kwan2 ,菌 
1017,seon4 ,純 
1018,goi3  ,蓋 
1019,waang4,橫 
1020,hai6  ,繫 
1021,si1   ,私 
1022,fu4   ,符 
1023,nou5  ,努 
1024,tong4 ,堂 
1025,wik6  ,域 
1026,tong4 ,糖 
1027,coeng1,槍 
1028,jeon6 ,潤 
1029,fuk1  ,幅 
1030,haa1  ,哈 
1031,ging2 ,竟 
1032,zaak6 ,澤 
1033,nou5  ,腦 
1034,joeng5,壤 
1035,taan3 ,碳 
1036,ngau1 ,歐 
1037,zak1  ,側 
1038,pin3  ,遍 
1039,zaai6 ,寨 
1040,gon1  ,干 
1041,gam2  ,敢 
1042,cit3  ,徹 
1043,ngok3 ,惡 
1044,leoi6 ,慮 
1045,ce4   ,斜 
1046,ting4 ,庭 
1047,naap6 ,納 
1048,jyu1  ,于 
1049,coi3  ,塞 
1050,zit3  ,折 
1051,zi6   ,飼 
1052,san1  ,伸 
1053,sap1  ,濕 
1054,mak6  ,麥 
1055,ho4   ,荷 
1056,ngam3 ,暗 
1057,ngaa5 ,瓦 
1058,cong4 ,床 
1059,kaa1  ,卡 
1060,zuk1  ,築 
1061,wu6   ,戶 
1062,taap3 ,塔 
1063,fong2 ,訪 
1064,tau3  ,透 
1065,dou1  ,刀 
1066,syun4 ,旋 
1067,ze3   ,借 
1068,luk6  ,氯 
1069,jyu6  ,遇 
1070,fan6  ,份 
1071,duk6  ,毒 
1072,nai4  ,泥 
1073,teoi3 ,退 
1074,sai2  ,洗 
1075,cung4 ,蟲 
1076,baai2 ,擺 
1077,fui1  ,灰 
1078,coi2  ,彩 
1079,maai6 ,賣 
1080,hyun1 ,圈 
1081,hou3  ,耗 
1082,haa6  ,夏 
1083,zaak6 ,擇 
1084,mong4 ,忙 
1085,hin3  ,獻 
1086,tung4 ,銅 
1087,ngang6,硬  
1088,jyu5  ,予 
1089,soek3 ,削 
1090,gyun2 ,卷 
1091,faan4 ,繁 
1092,syut3 ,雪 
1093,jik6  ,亦 
1094,haam4 ,函 
1095,cau1  ,抽 
1096,pin1  ,篇 
1097,zan6  ,陣 
1098,jam1  ,陰 
1099,ding1 ,丁 
1100,cek3  ,尺 
1101,zeoi1 ,追 
1102,deoi1 ,堆 
1103,sing6 ,盛 
1104,hung4 ,雄 
1105,jing4 ,迎 
1106,faan3 ,泛 
1107,lau4  ,樓 
1108,baa1  ,爸 
1109,bei6  ,避 
1110,mau4  ,謀 
1111,deon1 ,噸 
1112,je5   ,野 
1113,zyu1  ,豬 
1114,kei4  ,旗 
1115,pin1  ,偏 
1116,din2  ,典 
1117,gun2  ,館 
1118,sok3  ,索 
1119,ceon4 ,秦 
